orig_premise,orig_hypothesis,gold_label,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,diff_premise_probs,diff_hypothesis_probs
A man is kayaking in rough waters.,The man is in a boat,neutral,A man is in rough waters.,The woman is in a boat,1,0,0,0.125,0.16666666666666666,51.76803207397461,55.073486328125,0.5346023952588439,0.9835599577054381
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of large nuts on the ground.",A person is near a pile of fresh coconuts.,1,0,1,0.09090909090909091,0.1111111111111111,38.40380096435547,58.31641387939453,0.9904476010997314,-0.3912525177001953
Several men at a bar watch a sports game on the television.,Some men are watching TV at a bar.,neutral,Several men at with drinks watch a sports game on the television.,Some men are watching a game in a stadium.,1,2,2,0.15384615384615385,0.4444444444444444,40.9503059387207,86.15670013427734,0.685779295861721,0.41047152131795883
A lit girl splashes around in natural water.,A girl splashes in water.,neutral,A child splashes around in natural water.,A girl splashes in warm water.,1,2,2,0.2222222222222222,0.16666666666666666,74.47811889648438,43.593116760253906,0.983304618857801,0.966680764220655
A boy is riding down the road between two cows.,"A boy, a road and two cows.",neutral,A boy is riding down the road between two farm animals.,"A boy, a road and two cows he is taking home.",1,2,2,0.18181818181818182,0.4444444444444444,92.20065307617188,77.30622863769531,0.9628267977386713,0.9722827170044184
A group of attentive students are paying attention to a college lecture.,Some students are attending a class.,neutral,A group of attentive students are paying attention.,Only one student is paying attention to the lecture.,1,2,0,0.3076923076923077,1.2857142857142858,26.184907913208008,54.26531982421875,0.7885077595710754,0.9984068833873607
A man laughing while at a restaurant.,A man laughing.,neutral,A customer laughing while at a restaurant.,A man crying.,1,2,0,0.125,0.25,61.995914459228516,93.77281188964844,0.6606315583921969,0.999828196130693
A woman wearing a yellow tank top and white pants looking into a window on a city street.,A woman wearing a tank top and pants looks through some glass.,neutral,A woman wearing yellow and white looking into a window on a city street.,A woman wearing a tank top and pants is about to cross the street.,1,2,2,0.21052631578947367,0.46153846153846156,22.317758560180664,39.46912384033203,0.9521092399954796,0.9320875629782677
"A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,neutral,"A crowd of people in a stadium decked out in white, yellow and green  clap for the team below.",A popular team has fans that cheer them on while wearing the team's colors.,1,1,2,0.08695652173913043,4.0,37.537376403808594,145.93161010742188,-0.052296340465545654,0.8458780311048031
"Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",Two females holding each other.,neutral,"Two sweet young skaters on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",Two gentlemen were holding each other.,1,2,0,0.038461538461538464,0.3333333333333333,52.8083381652832,54.40396499633789,0.9582617040723562,0.9946292334934697
A woman in a pink top is holding a glass bottle in one hand and a Stitch doll in the other.,The top is pink,neutral,A woman in a top is holding a glass bottle in one hand and a Stitch doll in the other.,The bottom is also pink.,1,2,2,0.045454545454545456,0.75,21.559354782104492,35.83518981933594,0.8241426362656057,0.9229373945854604
A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,neutral,A girl in a black skirt and blue dress is watering something. ,The man is giving the flowers some water.,1,2,0,0.07692307692307693,0.1111111111111111,41.573421478271484,72.4244613647461,0.862155593931675,0.9917164221405983
A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,A pitcher is playing baseball at a stadium,neutral,A pro-football kicker sends a kick ball to his opponent while many fans relax and enjoy the game. ,A pitcher is playing hockey at a stadium.,1,0,0,0.14285714285714285,0.25,48.87504577636719,83.88150787353516,0.9989492219756357,0.9990940016577952
One confused man is standing and staring off into the distance in front of some ticket collecting machines.,The man is confused.,neutral,One man is standing and staring off into the distance in front of some ticket collecting machines.,The tall man is confused.,1,2,2,0.05263157894736842,0.2,57.86753463745117,42.108741760253906,0.9910420929081738,0.9925232683308423
Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,neutral,Several men in black t-shirts and caps are using rods to smash food that's lying on a round table with a hole in the center.,Men using wooden dowels,1,2,0,0.06451612903225806,0.75,57.51250457763672,78.41810607910156,0.9448234848678112,0.9936724292347208
A group of people sitting and knitting.,People are sitting.,neutral,A group of people are  knitting.,Dogs are sitting.,1,2,0,0.25,0.25,155.7329864501953,239.97393798828125,0.607192013412714,0.9979412565007806
An older man sifts water through his fingers as a young toddler watches from inside the water.,A man is near a toddler,neutral,An older man sifts water through his fingers as his grandson watches from inside the water.,A man is near his toddler,1,2,2,0.16666666666666666,0.16666666666666666,76.11961364746094,73.84829711914062,0.6514744199812412,0.5698840655386448
"While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",A woman rests on the shoulder of a man,neutral,"While traveling, a person in a black jacket is resting on the shoulder of their husband in a black jacket.",A boy rests on the shoulder of a man,1,1,0,0.13636363636363635,0.1111111111111111,16.90275001525879,25.540454864501953,-0.25644201040267944,0.9953427202999592
A man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,A man is riding a motorcyle.,neutral,A person riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,A woman is riding a motorcyle.,1,2,0,0.045454545454545456,0.14285714285714285,25.669919967651367,27.950265884399414,0.8154824431985617,0.9960907463682815
A skier is heading into a grove of trees.,There is snow on the ground in this picture.,neutral,A cross country athlete is heading into a grove of trees.,The skier is riding the lift up the mountain.,1,0,0,0.3,0.8,30.226947784423828,47.141456604003906,0.8565169235225767,0.9972402115818113
A man with thinning hair looking into glasses through glasses.,A man with thinning hair.,neutral,A man with nice hair looking into glasses through glasses.,The man has thinning hair and he is looking what glasses will make look better.,1,0,2,0.09090909090909091,2.0,57.00527572631836,68.2816390991211,0.9965231980895624,0.5613645035773516
A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,A team of youths race to finish first in a relay race on a beach.,contradiction,A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a bowling game.,A team of youths stand still hoping to finish first in a relay race on a beach.,2,0,0,0.06451612903225806,0.1875,49.52284622192383,48.12294006347656,0.9890942762140185,0.5985211918596178
A man is riding a bicycle in the street.,a bicycle is being ridden,neutral,A man is riding something in the street.,a bicycle is being ridden towards the finish line,1,2,2,0.2,0.8,38.36240005493164,67.62142944335938,0.9556570686399937,0.9593243040144444
A woman with a pink purse walks down a crowded sidewalk.,A woman walks through a crowd,neutral,A woman with a pink purse walks down the street.,A woman walks through an angry crowd,1,2,2,0.25,0.3333333333333333,56.9688606262207,40.07672119140625,0.9284019470214844,0.9305227398872375
"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people watch men in kilts,neutral,"A large number of people are watching people dressed in kilts, one of whom has thrown a long pole.",People watch men wearing spacesuits.,1,1,0,0.047619047619047616,0.8,59.944496154785156,62.939064025878906,-0.40246593952178955,0.9996603810286615
"Two babies, one in red, asleep in their highchairs.",babies are asleep,neutral,"Two babies, one in red, are in their highchairs.",Three babies are asleep,1,0,1,0.08333333333333333,0.3333333333333333,78.2128677368164,218.91151428222656,0.961679641797673,-0.12941545248031616
A small dog runs to catch a ball.,A little dog chases a ball.,neutral,A small dog runs to catch a toy.,A little dog chases a tennis ball.,1,2,2,0.1111111111111111,0.14285714285714285,34.122642517089844,47.09519577026367,0.9617366064339876,0.9730623830109835
A white and black spotted dog is running through a grassy area.,A dog is outdoors.,neutral,A white and black spotted dog is running.,A fat dog is outdoors.,1,1,2,0.3076923076923077,0.2,67.87984466552734,128.83836364746094,-0.46225225925445557,0.9714155457913876
The black woman is laying out literature.,A black woman is handling printed material.,neutral,The woman is laying out literature.,A black woman is handling online material.,1,2,1,0.125,0.125,127.72430419921875,144.4599609375,0.9928118293173611,-0.29638075828552246
Island native fishermen reeling in their nets after a long day's work.,The men are finishing their day of work.,neutral,Island native men reeling in their nets after a long day.,The men are casting their nets.,1,2,1,0.21428571428571427,0.4444444444444444,111.57392883300781,164.5291748046875,0.7812433019280434,-0.09956061840057373
a dog jumps over the pole.,dog is jumping over a pole,neutral,a dog jumps over while playing outside.,dog is jumping over a pole into a pool,1,2,2,0.42857142857142855,0.5,68.62545013427734,130.8470001220703,0.9491467885673046,0.9529026560485363
A man running in a race passes by spectators.,A man is running by people who are watching.,neutral,A man running in a race.,A man is running by people who are sky diving.,1,2,0,0.3,0.2,85.95439910888672,69.55496978759766,0.8494026400148869,0.9987255330197513
A man talks to two guards as he holds a drink.,The prisoner is talking to two guards in the prison cafeteria.,entailment,A convicted man talks to prison guards as he holds a drink.,The man is talking to a drink.,2,2,1,0.16666666666666666,0.5833333333333334,44.48440170288086,37.06136703491211,-0.1946735978126526,0.91789426561445
A woman with a black purse and a red coat is sitting on a pillar of concrete.,The woman is waiting for her boyfriend at the local bus stop.,contradiction,"A woman with a black purse and a red coat is sitting on a pillar of concrete, waiting for her mom. ",The woman is sitting.,2,0,1,0.2777777777777778,0.6923076923076923,40.07680130004883,33.950096130371094,0.9952400783076882,0.9949469757266343
"One man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",A tall person in a shirt,contradiction,"One short lady wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",A tall person in an orange shirt,2,2,2,0.1,0.3333333333333333,43.38270950317383,57.71159362792969,-0.09505009651184082,-0.23306423425674438
A barber in a sports themed barber shop waits for his next customer to arrive.,A barber in a sports shop waits eagerly for business.,entailment,A barber in a sports themed barber shop waits for his next customer to arrive with great anticipation.,A barber in a cooking shop waits eagerly for business.,2,1,0,0.1875,0.09090909090909091,41.14661407470703,75.97264099121094,0.844304695725441,0.9839099608361721
"Boy in backpack crossing the street, Other people, all Asian, are all in crosswalk walking towards the boy.",The boy is on his way home from school.,contradiction,"Boy in backpack crossing the street right after a date; Other people, all Asian, are all in crosswalk walking towards the boy.",The boy is crossing a street on his way from somewhere.,2,2,2,0.22727272727272727,0.5,87.65003204345703,75.98064422607422,-0.00026041269302368164,-0.26598817110061646
The cyclist rides on a wooded path.,The cyclist rides with a companion on a wooded path,entailment,The cyclists ride on a wooded path.,The cyclist rides outdoors.,2,2,1,0.25,0.7,55.367313385009766,27.765727996826172,-0.010746419429779053,0.9812294915318489
a woman working in the storefront of a jewelry shop fixing the display shelf.,The woman is dreaming of a modeling career while working in the jewelry shop.,contradiction,a boy working in the storefront of a coffee shop fixing the display shelf.,The woman is working in the jewelry shop.,2,0,1,0.13333333333333333,0.4,44.93574905395508,73.57923126220703,0.5757757723331451,0.9754208025988191
Two people play horseshoes.,Tom and Sue were playing outside.,entailment,Tom and Sue play horseshoes outside.,Two people are playing fortnite.,2,1,0,0.8,0.7142857142857143,63.02790451049805,75.65491485595703,0.513438954949379,0.9488495104014874
Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,Two brothers hold torches to celebrate.,entailment,Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration for their father in a forested environment.,Two children are holding torches to celebrate.,2,2,0,0.10714285714285714,0.42857142857142855,78.59973907470703,91.32655334472656,-0.03213226795196533,0.9982502415659837
Several adults look on while a young girl plays in a ball pit.,A young girl is having fun.,entailment,Several adults look on while a young girl has laughing playing in a ball pit.,A young girl is playing in a stadium.,2,1,2,0.21428571428571427,0.5714285714285714,31.51239776611328,61.54998779296875,0.6771918833255768,0.016713619232177734
A girl climbing a chain link fence.,The girl climbs the fence to get to school.,entailment,A girl climbing a school fence.,The girl climbs the wall to get to school.,2,2,0,0.25,0.1,33.278846740722656,27.872554779052734,-0.07831472158432007,0.6744040665216744
A man biking down a tunnel.,A man is winning a bike race.,contradiction,A man in last place biking down a tunnel.,A man is driving a car.,2,2,0,0.42857142857142855,0.375,53.73334503173828,92.30878448486328,-0.01178443431854248,0.993844869080931
"A smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",This man has an eyesight deficiency.,contradiction,"A smiling man with gray hair and fake glasses, dressed in black, is sitting in a chair with a music stand in front of him.",This man has poor eyesight.,2,2,1,0.037037037037037035,0.2857142857142857,17.91461753845215,25.7060546875,-0.05555027723312378,0.6197270415723324
Three children are shooting guns in the woods.,Three children are shooting a deer.,contradiction,Three children are shooting wooden targets in the woods.,Three children are shooting a deer with a bow and arrow.,2,2,0,0.2222222222222222,0.7142857142857143,30.62834358215332,71.41769409179688,-0.0070362091064453125,0.9951080260798335
Four people wearing backpacks walking in a line along a mountain trail.,Four people are walking along a mountain trail trying to get down before the storm.,entailment,Four people wearing backpacks hurriedly walking in a line down a mountain trail as a storm forms.,Four people are following the trail.,2,1,1,0.46153846153846156,0.6875,67.83306121826172,54.24348068237305,0.9601337980711833,0.8816917013609782
Several people talk and drink beer while sitting around a picnic table.,Several friends talk and drink beer while sitting around a picnic table.,entailment,Best buddies talk and drink beer while sitting around a picnic table.,Several people are drinking beer.,2,1,1,0.15384615384615385,0.7692307692307693,37.5223274230957,18.571807861328125,0.8754355134442449,0.9716470064595342
A man in a purple and blue shirt and shorts is getting ready to hit a golf ball.,A man is on a golf course.,entailment,A man in a purple and blue shirt and shorts is getting ready to hit a golf ball out of the course.,A man is wearing a kilt.,2,1,0,0.21052631578947367,0.375,21.383119583129883,20.11421775817871,0.4876306354999542,0.9495103543158621
A man is performing for a group in front of a white house.,The man performed in front of his own house.,contradiction,A man is performing for a group in front of the city house.,The man performed in front of the local library.,2,0,0,0.14285714285714285,0.3,30.074251174926758,31.192054748535156,0.49930574744939804,0.7695096358656883
A young man is playing a blue guitar.,A musician practices on his guitar briefly before a concert.,contradiction,A young man is playing a blue guitar in his bathroom.,A musician practices on his blue guitar.,2,2,1,0.3333333333333333,0.45454545454545453,66.6580581665039,63.81511688232422,-0.0008522868156433105,0.6079934155277442
Two men help each other cut a sheet of plastic.,Two friends help each other by cutting some plastic.,entailment,Two mates help each other cut a sheet of plastic.,Two friends help each other by cutting a sheet of paper.,2,1,2,0.09090909090909091,0.4,23.978591918945312,39.25151443481445,0.8705642148852348,-0.0312880277633667
An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,entailment,An old man in a blue shirt and white pants glowers by a glass door while resting outside.,A man by a door.,2,1,1,0.1875,1.0,47.71049499511719,74.61219787597656,0.669948548078537,0.716293603181839
"A little girl drawing with chalk, on a chalkboard.",A little girl is drawing on the board during class.,entailment,"A little girl drawing with chalk, on a chalkboard during class.",A little girl is drawing on the board with permanent marker.,2,1,0,0.18181818181818182,0.2727272727272727,37.98100662231445,31.422771453857422,0.8770344164222479,0.9808744516049046
a wet golden retriever is walking through a lake,A wet golden retriever is walking through a lake to find a ball.,entailment,a wet golden retriever is walking through a lake after his ball was thrown in,A wet dog is walking next to the lake.,2,1,0,0.6666666666666666,0.5714285714285714,74.0698013305664,34.836463928222656,0.882304931001272,0.45683521986939013
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman sitting is asian.,contradiction,A woman is standing up doing some sort of craft. ,The woman is seated.,2,0,1,0.625,0.3333333333333333,59.97846603393555,197.35264587402344,0.5797327214386314,0.997946181014413
People in chairs around a table,The people are eating dinner.,entailment,People in chairs around a table having dinner.,The people are seated.,2,1,1,0.5,0.3333333333333333,166.95118713378906,92.1292953491211,0.9805830214172602,0.9581814501434565
A group of people wait to cross the street in new york,Some of the people are wearing sunglasses.,entailment,"A group of people, two wearing sunglasses, wait to cross the street in new york",People are crossing the street.,2,1,0,0.4166666666666667,0.875,56.687313079833984,38.95003128051758,0.8265183078474365,0.9379736437695101
"Two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are colleagues.,entailment,"Two distinguished older business partners wearing glasses stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are wearing glasses.,2,2,2,0.0975609756097561,0.3333333333333333,63.3590087890625,101.86546325683594,-0.09053593873977661,-0.1955418586730957
A young woman dressed in black attaches bags full of flowers to a bicycle.,The flowers are lilacs.,contradiction,A young woman dressed in black attaches bags full of roses to a bicycle.,A man has bags of flowers.,2,0,0,0.06666666666666667,1.2,44.442230224609375,63.86214828491211,0.9354712266940624,0.9906556506175548
"A man stands on a dock near several boats, while 2 other men are on one of the boats.",A man with brown hair is standing on a dock.,contradiction,"A bald man stands on a dock near several boats, while 2 other men are on one of the boats.",A man is in a stadium.,2,0,0,0.047619047619047616,0.5454545454545454,37.061859130859375,23.141937255859375,0.9854184380383231,0.9988667360157706
A bird is perched on a line of some sort attached to a pole.,A bird is wallowing on a pole.,entailment,A bird is on a line of some sort wrapped around a pole.,A bird is relaxing on a line.,2,2,2,0.2,0.25,28.325448989868164,42.00225830078125,-0.11438798904418945,-0.41885870695114136
A person is on a four wheeler kicking up a lot of dirt in a dune.,The person is in a race.,entailment,A person is racing on a four wheeler kicking up a lot of dirt in a dune.,The person is on a train.,2,2,0,0.058823529411764705,0.2857142857142857,40.75664520263672,33.78632736206055,-0.325833797454834,0.9793991902843118
"A man wearing an oxford shirt, sunglasses, and a hat smirks.",A man hiding his true identity.,contradiction,"A girl wearing a dress, sunglasses, and a hat smirks.",A man wearing clothes.,2,0,1,0.2857142857142857,0.5714285714285714,41.59419250488281,43.488590240478516,0.9799894690513611,0.9731297669932246
A man in a suit cheering in a library in front of children.,A lawyer is encouraging some children at a contest.,contradiction,A lawyer in a dress reading in a library in front of children.,A woman is cheering in a library.,2,2,0,0.21428571428571427,0.6,56.72175979614258,103.38774108886719,0.01746666431427002,0.9789747726172209
Security officer working outside.,A security officer is dressed in a uniform.,entailment,Security uniformed officer working outside.,A security officer might have clothes on.,2,1,2,0.2,0.5555555555555556,179.9735870361328,83.67366027832031,0.9126892425119877,0.0340275764465332
A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man is cleaning the fish that he caught so he can cook it.,entailment,A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table to prepare for cooking.,The man with a mustache is wearing an apron.,2,2,2,0.16,0.8,31.111431121826172,37.053672790527344,-0.0017334222793579102,-0.001124560832977295
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,contradiction,A young couple and many others out enjoying themselves at an outdoor street event where they are watching live musicians perform.,A young couple are at an outdoor street event.,2,0,1,0.4666666666666667,0.5714285714285714,34.669639587402344,47.46000671386719,0.9007063172757626,0.9734762473963201
Construction workers use cables to hang from the sides of buildings.,Construction workers are brave.,entailment,Construction workers courageously use cables to hang from the sides of buildings.,Construction workers put themselves in danger.,2,1,2,0.08333333333333333,0.8,62.83515930175781,74.3185806274414,0.9573179502040148,-0.2117677927017212
A dark-haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.,A man in a police uniform is talking to another man.,entailment,A dark-haired man in a black police uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.,A man in a uniform is talking to another man.,2,1,1,0.04,0.08333333333333333,19.10248374938965,18.270090103149414,0.9747048355638981,0.97532132640481
A woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet.,Woman takes a break at a museum while her children sit by her feet.,entailment,A woman wearing a coat tries to relax on a wood floor in front of several paintings while her kids sit on the floor at her feet.,Woman takes a break at a museum while her children stand by her feet.,2,2,2,0.2222222222222222,0.06666666666666667,32.829429626464844,34.15775680541992,-0.008541405200958252,-0.0019837021827697754
A woman is walking her dog along a snowy ground.,A woman is trying to get her dog to go to the bathroom after it has freshly snowed.,entailment,A female is walking her dog to piss along a fresh snowy ground.,A woman is trying to get her dog to go to the bathroom after it has rained.,2,2,2,0.36363636363636365,0.10526315789473684,24.176029205322266,45.156089782714844,-0.0029516220092773438,-0.0032562613487243652
a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys are preparing for their big game that is about to start.,entailment,a boy in a uniform is standing next to a boy in red and a boy in yellow and they are holding pro-baseball gloves singing national anthem.,The three boys are wearing identical team uniforms.,2,2,0,0.23076923076923078,0.8571428571428571,26.919418334960938,36.73043441772461,-0.0005280375480651855,0.9174823767389171
"While two students are jumping, others in a classroom are sitting or standing.",Two students disrupting class.,entailment,"While two students are jumping, others in a classroom are sitting or standing and they are very annoyed.",Some others are not jumping.,2,2,2,0.3333333333333333,1.0,67.96395874023438,97.63135528564453,-0.30660486221313477,-0.490520715713501
A man alone crosscountry skis in the wilderness while wearing a huge backpack.,A man skis in the wilderness while it's snowing,entailment,A man alone crosscountry skis somewhere other than a resort.,A man skis in the wilderness.,2,2,1,0.5,0.4,55.11199951171875,69.39450073242188,0.009609818458557129,0.9614491555839777
A well dressed elderly woman standing in front of a bus decorated with images of purple flowers.,A grandmother is standing in front of a bus with violets decorated all over it.,entailment,A well dressed elderly grandmother standing in front of a bus decorated with images of purple flowers.,A grandmother bombs a bus with flowers.,2,2,0,0.05555555555555555,0.625,53.00102233886719,29.420303344726562,-0.18248003721237183,0.9941940072458237
Two girls kissing a man with a black shirt and brown hair on the cheeks.,Two girls kiss there dad.,entailment,"Two girls kissing their father, who has a black shirt and brown hair on the cheeks.",Two girls are kissing a man with brown hair on the cheeks.,2,1,1,0.3125,1.6666666666666667,22.030115127563477,70.05715942382812,0.4704572558403015,0.529737114906311
A large man is sitting in front of a fountain statue while talking on a phone.,The fountain has running water.,entailment,A large man is sitting in front of a running water fountain statue while talking on a phone.,The fountain is behind a man.,2,1,1,0.11764705882352941,0.6666666666666666,28.494720458984375,39.03886413574219,0.5565163493156433,0.35541194677352905
a man puts his hands up while telling an amusing story to his friend with a beard.,The man is perplexed by the events.,entailment,a perplexed man puts his hands up while telling an amusing story to his friend with a beard.,The man is narrating the story.,2,2,1,0.05555555555555555,0.375,33.27775573730469,37.055850982666016,-0.06893736124038696,0.7791931629180908
A man with a tattoo on his arm staring to the side with vehicles and buildings behind him.,A man has dragon tattoos on his arm.,entailment,A man has targaryen tattoos on his arm. ,"A man has pale, bare skin.",2,0,0,0.6842105263157895,0.5555555555555556,60.44821548461914,86.19713592529297,0.9489044392248616,0.9967886054655537
"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.",A man sits by himself at Mardi Gras.,contradiction,"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building on Christmas, and he has a blue and white patterned piece of wheeled luggage to his right while resting both his hands on a walking stick.",A man is sitting next to luggage.,2,0,1,0.14035087719298245,0.6666666666666666,33.51410675048828,32.89925003051758,0.9215391762554646,0.9848835434531793
An Asian man walks a three-wheeled pedal card fully of white bags.,An Asian man walks a three-wheeled pedal card fully of white bags and he can be seen leaving the store.,entailment,An Asian man leaves the grocery store with his three-wheeled pedal card fully of white bags.,An Asian man has a lot of white bags in his cart.,2,1,1,0.4,0.6521739130434783,80.66998291015625,36.7793083190918,0.9663790334016085,0.9270383585244417
A couple about to kiss somewhere.,A couple are kissing on new years eve as the ball drops.,contradiction,A couple about to hug somewhere.,A couple are about to kiss.,2,0,1,0.14285714285714285,0.6923076923076923,48.39702606201172,106.3680191040039,0.9963960095774382,0.98092061628995
A person in an orange shirt reaching up.,A person is reaching up to grab something.,entailment,A person in an orange shirt extends their arm up for an object.,A person is reaching down to grab something.,2,1,0,0.6666666666666666,0.1111111111111111,44.373905181884766,43.624671936035156,0.8966348748654127,0.9838374209939502
A big dog catches a ball on his nose,A dog is playing with his owner,entailment,A big dog catches a ball on his nose thrown by his owner,A big dog is playing with a ball.,2,1,1,0.4444444444444444,0.5714285714285714,43.9213752746582,63.35435485839844,0.8927145241759717,0.9624036788009107
An medical worker examines a young girl.,A health worker is evaluating a girl on her sickness.,entailment,A trained hospital employee examines a young sick girl.,A health worker is evaluating a girl who is low in age.,2,1,1,0.625,0.45454545454545453,72.0569839477539,108.16756439208984,0.632503111846745,0.7728321747854352
A man with two small boys making a purchase from a woman.,The man with the little boys is buying a gift from the woman's store.,entailment,A man with two small boys making a purchase from a woman's store.,The man with the little boys is buying something from a women.,2,2,1,0.15384615384615385,0.375,36.35111999511719,25.294023513793945,0.02518177032470703,0.8495813086628914
A woman standing in front of a large tank at an aquarium turns around to look at the photographer.,A woman wants a new facebook picture of her at the aquarium,entailment,A woman standing in front of a large tank at an aquarium turns around to look at the photographer to take a picture for her facebook profile.,A woman wants a new facebook picture of her at the baseball game.,2,2,2,0.4,0.25,42.89353561401367,33.984561920166016,-0.048745930194854736,-0.09237170219421387
A woman standing in front of a wall holding a can of Bud Light with her shirt tied into a semi-halter.,The woman who is shown lives in the South.,contradiction,A boy standing in front of a wall holding a can of Blue Moon with his shirt tied into a semi-halter.,A woman is standing in front of the wall.,2,0,1,0.16666666666666666,0.7,30.754261016845703,63.6529541015625,0.9905858081765473,0.9911863090237603
A little boy with an orange backpack walks under a tree through the woods.,A boy walks to school through the woods.,entailment,A little boy with an orange backpack walks under a tree through the woods to school.,A boy walks on the sidewalks.,2,1,0,0.13333333333333333,0.4444444444444444,37.84049987792969,24.230491638183594,0.9812573851668276,0.9987384141422808
A group of people are gathered on a sidewalk in front of a store nearby a littered street.,A group of people are considering whether to shop at the store.,entailment,A group of people are gathered on a sidewalk in front of a store nearby a littered street looking to buy food.,A group of people are near a littered store.,2,2,1,0.21052631578947367,0.46153846153846156,40.614139556884766,34.92402648925781,-0.017730116844177246,0.9751541265286505
"A man with a blue, collared shirt sits in front of another man.",a man is looking at his friend,entailment,"A man with a blue, collared shirt sits in front of his friend, watching him.",a man is sitting near another man,2,1,1,0.3333333333333333,0.5714285714285714,28.350996017456055,30.73603057861328,0.9246257692575455,0.929657831788063
"Four men in safety gear, one holding a camera, are standing on a platform.",There has been an accident,entailment,"Four men in safety gear, one holding a camera, are standing on a platform next to a car crash.",There is a camera.,2,1,1,0.29411764705882354,0.8,45.056663513183594,36.06770706176758,0.8837498277425766,0.9589822143316269
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,contradiction,Two men climbing on a metal scaffold.,Two men are climbing.,2,0,1,0.125,0.6666666666666666,67.06416320800781,31.79880714416504,0.954696586355567,0.9917387963359943
A group of children in costumes are on a stage with red curtains.,a group of children are performing a play,entailment,A group of children in costumes act in a shakespeare drama on a stage with red curtains.,a group of adults are performing a play,2,1,0,0.35714285714285715,0.125,96.93779754638672,95.25914764404297,0.6270667684730142,0.9994378639676142
A red truck is parked next to a burning blue building while a man in a green vest runs toward it.,The burning blue building will turn to dust after an hour.,contradiction,A red truck is parked next to a blue building while a man in a green vest walks toward it.,The burning blue building has people running towards it.,2,0,1,0.09090909090909091,0.5833333333333334,26.573320388793945,33.03861618041992,0.6841913461685181,0.44430376775562763
A man in a blue jogging suit is running on the sidewalk in front of a painting.,The man is sweating from his run.,entailment,A man in a blue jogging suit is sweating while running on the sidewalk in front of a painting.,The man is flying.,2,2,0,0.1111111111111111,0.5,28.12772560119629,28.325315475463867,-0.2911163568496704,0.999652542945114
A band performing at a local bar or club.,The band is playing rock music,entailment,A rock band performing at a bar or club.,The band is performing at a venue.,2,1,1,0.2,0.8333333333333334,32.262699127197266,43.76293182373047,0.8682231576531194,0.988723126181867
A group of people are sight seeing and taking pictures.,the group is on vacation,entailment,A group of people vacationing are sight seeing and taking pictures.,the group is sight seeing,2,1,1,0.09090909090909091,0.4,81.37203216552734,79.70103454589844,0.8859724471112713,0.9222164222737774
