orig_premise,orig_hypothesis,gold_label,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,orig_contrast_probs,pred_edit_premise_probs,pred_edit_hypo_probs,diff_premise_probs,diff_hypothesis_probs
Red-haired female answers questions while sitting at a table for craftzine.,She answers questions while sitting at a table.,neutral,Red-haired female talks to people while sitting at a table for craftzine.,She answers questions while running a race.,1,1,0,0.21428571428571427,0.3333333333333333,106.34397888183594,67.35249328613281,0.027027612552046776,0.8827919960021973,0.9998369216918945,-0.08982360363006592,0.9994801480206661
"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",People in costumes,neutral,"Two horses with red noses, top hats, sunglasses and white fur coats that contain white electrical lights.",People in pirate costumes,1,2,2,0.21739130434782608,0.3333333333333333,156.28123474121094,126.18667602539062,0.007934903725981712,0.615017294883728,0.9361683130264282,0.6070823911577463,0.9282334093004465
A man has wrecked his racing bike in the dirt with five spectators behind a rope.,A man has damaged something.,neutral,A rider has wrecked their racing bike in the dirt with five spectators behind a rope.,A man has damaged something expensive.,1,2,2,0.11764705882352941,0.16666666666666666,218.33782958984375,197.38218688964844,0.06587744504213333,0.608351469039917,0.9912036657333374,0.5424740239977837,0.9253262206912041
A city street with market vendors and children being pushed in strollers with a large cathedral in the background.,The strollers are moving.,neutral,A city street with market vendors and children in strollers with a large cathedral in the background.,The strollers are sitting.,1,2,2,0.1,0.2,134.35647583007812,91.50627136230469,0.11887282878160477,0.5959689617156982,0.7421891689300537,0.4770961329340935,0.6233163401484489
Two men working on farm equipment that is being pulled by two horses.,The men are working on farm stuff.,neutral,Farmers working on farm equipment that is being pulled by two horses.,The men are working on a plow.,1,2,0,0.14285714285714285,0.25,45.908668518066406,64.31409454345703,0.009191346354782581,0.7818016409873962,0.5411684513092041,0.7726102946326137,0.5409337693854468
Woman running in a park while listening to music.,A woman jogging in a park.,neutral,Woman exercising in a park while listening to music.,A woman lies down on a park bench.,1,2,0,0.1,0.5714285714285714,50.53767013549805,38.775054931640625,0.08074361085891724,0.9116215109825134,0.9998650550842285,0.8308779001235962,0.9963944412302226
"The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",A man covered in paint takes a photo.,neutral,"The blond young  man who had been splattered with paint colors of blue, orange, and green held up his camera.",A man covered in paint takes an apple.,1,1,0,0.18518518518518517,0.2222222222222222,43.06210708618164,78.06010437011719,0.014490628615021706,0.8506947159767151,0.9691360592842102,-0.13375359773635864,0.9680749479448423
"One woman with jeans, gray shirt and sandals; with girl in all pink watching a white ball float in midair.",The shirt is gray.,neutral,"One woman with jeans, shirt and sandals; with girl in all pink watching a white ball float in midair.",The woman is in khaki shorts.,1,2,0,0.043478260869565216,0.8,97.52433776855469,146.96778869628906,0.0038901614025235176,0.9457299709320068,0.9959530830383301,0.9418398095294833,0.9956666619109455
3 people are shopping in a market.,There are people at a market.,neutral,3 people are shopping.,The market is empty.,1,2,0,0.375,0.8571428571428571,69.7993392944336,143.6336669921875,0.00372835504822433,0.6069512367248535,0.9995025396347046,0.6032228816766292,0.9993656403239584
A man is working in an art studio and is surrounded by art supplies.,A man is working on art.,neutral,A man is working on something in a studio. ,A man thinks highly of his work.,1,2,2,0.6666666666666666,0.7142857142857143,28.551416397094727,101.78121948242188,0.054614536464214325,0.9749370813369751,0.9919480681419373,0.9203225448727608,0.9373335316777229
The man in black is flying off the full in front of a red fence.,The man is next to the fence.,contradiction,The woman in black is flying off the full in front of a red fence.,There are many men in black flying off the full in front of a red fence.,1,0,2,0.0625,1.75,20.409160614013672,45.76361846923828,0.06645793467760086,0.9507517218589783,0.9801400303840637,0.8469196408987045,0.9136820957064629
People are hiking up a mountain with no greenery.,The mountain is bare.,neutral,People are hiking up a mountain.,The mountain has had a fire recently destroy the greenery.,1,0,2,0.3,1.6,82.01243591308594,61.317867279052734,0.021141691133379936,0.9710680246353149,0.9961942434310913,0.9688994167372584,0.9750525522977114
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,neutral,"An old man in a baseball hat and an old woman in a jean outfit are standing outside, but are covered mostly in shadow.",An old woman has a velvet jacket.,1,1,0,0.038461538461538464,0.125,36.203433990478516,33.33705520629883,0.021994929760694504,0.8919294476509094,0.9767241477966309,-0.08436429500579834,0.9750128326704726
A patient is being worked on by doctors and nurses.,Someone is at the doctor.,neutral,A patient is being worked on by medical professionals.,An alien is at the doctor.,1,1,0,0.2727272727272727,0.3333333333333333,63.64242172241211,77.48126220703125,0.027303049340844154,0.9049711227416992,0.9996098875999451,-0.06685072183609009,0.998734726512339
A young male wearing a white shirt with a character outlined very darkly.,A young male in a white shirt.,neutral,A young male wearing a plain shirt with a character outlined very darkly.,A older male in a white shirt.,1,0,0,0.07142857142857142,0.125,58.02572250366211,64.75218963623047,0.004505968652665615,0.6550169587135315,0.9991508722305298,0.6547448813216761,0.9988787948386744
A man wearing a white shirt and a blue jeans reading a newspaper while standing,A man is reading a newspaper.,neutral,A man wearing a white shirt and a blue jeans reading a paper while standing,A woman is reading a newspaper.,1,1,0,0.06666666666666667,0.14285714285714285,53.400352478027344,67.05239868164062,0.00986520480364561,0.9844847917556763,0.99770587682724,-0.005331754684448242,0.9973876865697093
A man and woman setup a camera.,Two people setup a device,neutral,A man and woman setup a gift for their son.,Three people setup a device,1,1,0,0.5,0.2,147.2103271484375,102.33317565917969,0.029506802558898926,0.9505651593208313,0.7321999669075012,-0.01903855800628662,0.731310521659907
two dogs run across the woods.,The canines run around in the forest.,neutral,Two dogs run across the trees.,Two dogs swim in a lake.,1,1,0,0.2857142857142857,0.75,57.95476531982422,62.126007080078125,0.00015295798948500305,0.9909918308258057,0.999936580657959,-0.004719853401184082,0.999783622668474
A man is kayaking in rough waters.,The man is in a boat,neutral,A man is in rough waters.,The woman is in a boat,1,0,0,0.125,0.16666666666666666,51.76803207397461,55.073486328125,0.107086181640625,0.5405519008636475,0.9895094633102417,0.5346023952588439,0.9835599577054381
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of large nuts on the ground.",A person is near a pile of fresh coconuts.,1,0,1,0.09090909090909091,0.1111111111111111,38.40380096435547,58.31641387939453,0.011708278208971024,0.9907457828521729,0.5967409610748291,0.9904476010997314,-0.3912525177001953
Several men at a bar watch a sports game on the television.,Some men are watching TV at a bar.,neutral,Several men at with drinks watch a sports game on the television.,Some men are watching a game in a stadium.,1,2,2,0.15384615384615385,0.4444444444444444,40.9503059387207,86.15670013427734,0.0798277035355568,0.7656069993972778,0.4902992248535156,0.685779295861721,0.41047152131795883
A lit girl splashes around in natural water.,A girl splashes in water.,neutral,A child splashes around in natural water.,A girl splashes in warm water.,1,2,2,0.2222222222222222,0.16666666666666666,74.47811889648438,43.593116760253906,0.010208548046648502,0.9935131669044495,0.9768893122673035,0.983304618857801,0.966680764220655
A boy is riding down the road between two cows.,"A boy, a road and two cows.",neutral,A boy is riding down the road between two farm animals.,"A boy, a road and two cows he is taking home.",1,2,2,0.18181818181818182,0.4444444444444444,92.20065307617188,77.30622863769531,0.020502498373389244,0.9833292961120605,0.9927852153778076,0.9628267977386713,0.9722827170044184
A group of attentive students are paying attention to a college lecture.,Some students are attending a class.,neutral,A group of attentive students are paying attention.,Only one student is paying attention to the lecture.,1,2,0,0.3076923076923077,1.2857142857142858,26.184907913208008,54.26531982421875,0.04564690589904785,0.8341546654701233,0.9991814494132996,0.7885077595710754,0.9984068833873607
A man laughing while at a restaurant.,A man laughing.,neutral,A customer laughing while at a restaurant.,A man crying.,1,2,0,0.125,0.25,61.995914459228516,93.77281188964844,0.005827048327773809,0.6664586067199707,0.9999212026596069,0.6606315583921969,0.999828196130693
A woman wearing a yellow tank top and white pants looking into a window on a city street.,A woman wearing a tank top and pants looks through some glass.,neutral,A woman wearing yellow and white looking into a window on a city street.,A woman wearing a tank top and pants is about to cross the street.,1,2,2,0.21052631578947367,0.46153846153846156,22.317758560180664,39.46912384033203,0.04167083650827408,0.9937800765037537,0.9737583994865417,0.9521092399954796,0.9320875629782677
"A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,neutral,"A crowd of people in a stadium decked out in white, yellow and green  clap for the team below.",A popular team has fans that cheer them on while wearing the team's colors.,1,1,2,0.08695652173913043,4.0,37.537376403808594,145.93161010742188,0.012497756630182266,0.9349730610847473,0.8583757877349854,-0.052296340465545654,0.8458780311048031
"Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",Two females holding each other.,neutral,"Two sweet young skaters on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",Two gentlemen were holding each other.,1,2,0,0.038461538461538464,0.3333333333333333,52.8083381652832,54.40396499633789,0.019991779699921608,0.9782534837722778,0.9956438541412354,0.9582617040723562,0.9946292334934697
A woman in a pink top is holding a glass bottle in one hand and a Stitch doll in the other.,The top is pink,neutral,A woman in a top is holding a glass bottle in one hand and a Stitch doll in the other.,The bottom is also pink.,1,2,2,0.045454545454545456,0.75,21.559354782104492,35.83518981933594,0.006548343691974878,0.8306909799575806,0.9294857382774353,0.8241426362656057,0.9229373945854604
A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,neutral,A girl in a black skirt and blue dress is watering something. ,The man is giving the flowers some water.,1,2,0,0.07692307692307693,0.1111111111111111,41.573421478271484,72.4244613647461,0.07544716447591782,0.9376027584075928,0.9983993172645569,0.862155593931675,0.9917164221405983
A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,A pitcher is playing baseball at a stadium,neutral,A pro-football kicker sends a kick ball to his opponent while many fans relax and enjoy the game. ,A pitcher is playing hockey at a stadium.,1,0,0,0.14285714285714285,0.25,48.87504577636719,83.88150787353516,0.46506404876708984,0.9997784495353699,0.9999232292175293,0.9989492219756357,0.9990940016577952
One confused man is standing and staring off into the distance in front of some ticket collecting machines.,The man is confused.,neutral,One man is standing and staring off into the distance in front of some ticket collecting machines.,The tall man is confused.,1,2,2,0.05263157894736842,0.2,57.86753463745117,42.108741760253906,0.005821033846586943,0.9968631267547607,0.9983443021774292,0.9910420929081738,0.9925232683308423
Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,neutral,Several men in black t-shirts and caps are using rods to smash food that's lying on a round table with a hole in the center.,Men using wooden dowels,1,2,0,0.06451612903225806,0.75,57.51250457763672,78.41810607910156,0.0517013855278492,0.9965248703956604,0.9953373670578003,0.9448234848678112,0.9936724292347208
A group of people sitting and knitting.,People are sitting.,neutral,A group of people are  knitting.,Dogs are sitting.,1,2,0,0.25,0.25,155.7329864501953,239.97393798828125,0.015140321105718613,0.6223323345184326,0.998353123664856,0.607192013412714,0.9979412565007806
An older man sifts water through his fingers as a young toddler watches from inside the water.,A man is near a toddler,neutral,An older man sifts water through his fingers as his grandson watches from inside the water.,A man is near his toddler,1,2,2,0.16666666666666666,0.16666666666666666,76.11961364746094,73.84829711914062,0.0344504676759243,0.6859248876571655,0.6043345332145691,0.6514744199812412,0.5698840655386448
"While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",A woman rests on the shoulder of a man,neutral,"While traveling, a person in a black jacket is resting on the shoulder of their husband in a black jacket.",A boy rests on the shoulder of a man,1,1,0,0.13636363636363635,0.1111111111111111,16.90275001525879,25.540454864501953,0.9624633193016052,0.7060213088989258,0.9973874688148499,-0.25644201040267944,0.9953427202999592
A man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,A man is riding a motorcyle.,neutral,A person riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,A woman is riding a motorcyle.,1,2,0,0.045454545454545456,0.14285714285714285,25.669919967651367,27.950265884399414,0.0116953793913126,0.8271778225898743,0.997368574142456,0.8154824431985617,0.9960907463682815
A skier is heading into a grove of trees.,There is snow on the ground in this picture.,neutral,A cross country athlete is heading into a grove of trees.,The skier is riding the lift up the mountain.,1,0,0,0.3,0.8,30.226947784423828,47.141456604003906,0.062244266271591187,0.8576586842536926,0.9983819723129272,0.8565169235225767,0.9972402115818113
A man with thinning hair looking into glasses through glasses.,A man with thinning hair.,neutral,A man with nice hair looking into glasses through glasses.,The man has thinning hair and he is looking what glasses will make look better.,1,0,2,0.09090909090909091,2.0,57.00527572631836,68.2816390991211,0.017447737976908684,0.9975100755691528,0.5788122415542603,0.9965231980895624,0.5613645035773516
A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,A team of youths race to finish first in a relay race on a beach.,contradiction,A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a bowling game.,A team of youths stand still hoping to finish first in a relay race on a beach.,2,0,0,0.06451612903225806,0.1875,49.52284622192383,48.12294006347656,0.9970502853393555,0.9912986159324646,0.600725531578064,0.9890942762140185,0.5985211918596178
A man is riding a bicycle in the street.,a bicycle is being ridden,neutral,A man is riding something in the street.,a bicycle is being ridden towards the finish line,1,2,2,0.2,0.8,38.36240005493164,67.62142944335938,0.03666221722960472,0.9923192858695984,0.9959865212440491,0.9556570686399937,0.9593243040144444
A woman with a pink purse walks down a crowded sidewalk.,A woman walks through a crowd,neutral,A woman with a pink purse walks down the street.,A woman walks through an angry crowd,1,2,2,0.25,0.3333333333333333,56.9688606262207,40.07672119140625,0.0654568076133728,0.9938587546348572,0.9959795475006104,0.9284019470214844,0.9305227398872375
"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people watch men in kilts,neutral,"A large number of people are watching people dressed in kilts, one of whom has thrown a long pole.",People watch men wearing spacesuits.,1,1,0,0.047619047619047616,0.8,59.944496154785156,62.939064025878906,0.006861657835543156,0.5905188322067261,0.999813973903656,-0.40246593952178955,0.9996603810286615
"Two babies, one in red, asleep in their highchairs.",babies are asleep,neutral,"Two babies, one in red, are in their highchairs.",Three babies are asleep,1,0,1,0.08333333333333333,0.3333333333333333,78.2128677368164,218.91151428222656,0.017860744148492813,0.9625961780548096,0.8518072366714478,0.961679641797673,-0.12941545248031616
A small dog runs to catch a ball.,A little dog chases a ball.,neutral,A small dog runs to catch a toy.,A little dog chases a tennis ball.,1,2,2,0.1111111111111111,0.14285714285714285,34.122642517089844,47.09519577026367,0.9809873104095459,0.9802645444869995,0.9915903210639954,0.9617366064339876,0.9730623830109835
A white and black spotted dog is running through a grassy area.,A dog is outdoors.,neutral,A white and black spotted dog is running.,A fat dog is outdoors.,1,1,2,0.3076923076923077,0.2,67.87984466552734,128.83836364746094,0.026726577430963516,0.5108245611190796,0.9981421232223511,-0.46225225925445557,0.9714155457913876
The black woman is laying out literature.,A black woman is handling printed material.,neutral,The woman is laying out literature.,A black woman is handling online material.,1,2,1,0.125,0.125,127.72430419921875,144.4599609375,0.006034820806235075,0.9988466501235962,0.6974076628684998,0.9928118293173611,-0.29638075828552246
Island native fishermen reeling in their nets after a long day's work.,The men are finishing their day of work.,neutral,Island native men reeling in their nets after a long day.,The men are casting their nets.,1,2,1,0.21428571428571427,0.4444444444444444,111.57392883300781,164.5291748046875,0.9012158513069153,0.8739251494407654,0.8016552329063416,0.7812433019280434,-0.09956061840057373
a dog jumps over the pole.,dog is jumping over a pole,neutral,a dog jumps over while playing outside.,dog is jumping over a pole into a pool,1,2,2,0.42857142857142855,0.5,68.62545013427734,130.8470001220703,0.04130830243229866,0.9904550909996033,0.994210958480835,0.9491467885673046,0.9529026560485363
A man running in a race passes by spectators.,A man is running by people who are watching.,neutral,A man running in a race.,A man is running by people who are sky diving.,1,2,0,0.3,0.2,85.95439910888672,69.55496978759766,0.0011060242541134357,0.8657281398773193,0.9998315572738647,0.8494026400148869,0.9987255330197513
A man talks to two guards as he holds a drink.,The prisoner is talking to two guards in the prison cafeteria.,entailment,A convicted man talks to prison guards as he holds a drink.,The man is talking to a drink.,2,2,1,0.16666666666666666,0.5833333333333334,44.48440170288086,37.06136703491211,0.9717013239860535,0.7770277261734009,0.9252033829689026,-0.1946735978126526,0.91789426561445
A woman with a black purse and a red coat is sitting on a pillar of concrete.,The woman is waiting for her boyfriend at the local bus stop.,contradiction,"A woman with a black purse and a red coat is sitting on a pillar of concrete, waiting for her mom. ",The woman is sitting.,2,0,1,0.2777777777777778,0.6923076923076923,40.07680130004883,33.950096130371094,0.9969382286071777,0.9972743391990662,0.9959744811058044,0.9952400783076882,0.9949469757266343
"One man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",A tall person in a shirt,contradiction,"One short lady wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",A tall person in an orange shirt,2,2,2,0.1,0.3333333333333333,43.38270950317383,57.71159362792969,0.9983410835266113,0.9032909870147705,0.7652768492698669,-0.09505009651184082,-0.23306423425674438
A barber in a sports themed barber shop waits for his next customer to arrive.,A barber in a sports shop waits eagerly for business.,entailment,A barber in a sports themed barber shop waits for his next customer to arrive with great anticipation.,A barber in a cooking shop waits eagerly for business.,2,1,0,0.1875,0.09090909090909091,41.14661407470703,75.97264099121094,0.9250290393829346,0.9126927852630615,0.9904928803443909,0.844304695725441,0.9839099608361721
"Boy in backpack crossing the street, Other people, all Asian, are all in crosswalk walking towards the boy.",The boy is on his way home from school.,contradiction,"Boy in backpack crossing the street right after a date; Other people, all Asian, are all in crosswalk walking towards the boy.",The boy is crossing a street on his way from somewhere.,2,2,2,0.22727272727272727,0.5,87.65003204345703,75.98064422607422,0.0006596452440135181,0.9977211356163025,0.7319933772087097,-0.00026041269302368164,-0.26598817110061646
The cyclist rides on a wooded path.,The cyclist rides with a companion on a wooded path,entailment,The cyclists ride on a wooded path.,The cyclist rides outdoors.,2,2,1,0.25,0.7,55.367313385009766,27.765727996826172,0.9890236854553223,0.9782772660255432,0.9909685254096985,-0.010746419429779053,0.9812294915318489
a woman working in the storefront of a jewelry shop fixing the display shelf.,The woman is dreaming of a modeling career while working in the jewelry shop.,contradiction,a boy working in the storefront of a coffee shop fixing the display shelf.,The woman is working in the jewelry shop.,2,0,1,0.13333333333333333,0.4,44.93574905395508,73.57923126220703,0.5755643844604492,0.9999018907546997,0.975730299949646,0.5757757723331451,0.9754208025988191
Two people play horseshoes.,Tom and Sue were playing outside.,entailment,Tom and Sue play horseshoes outside.,Two people are playing fortnite.,2,1,0,0.8,0.7142857142857143,63.02790451049805,75.65491485595703,0.8670763373374939,0.6407718062400818,0.9544402956962585,0.513438954949379,0.9488495104014874
Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,Two brothers hold torches to celebrate.,entailment,Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration for their father in a forested environment.,Two children are holding torches to celebrate.,2,2,0,0.10714285714285714,0.42857142857142855,78.59973907470703,91.32655334472656,0.9982699155807495,0.9661376476287842,0.998975396156311,-0.03213226795196533,0.9982502415659837
Several adults look on while a young girl plays in a ball pit.,A young girl is having fun.,entailment,Several adults look on while a young girl has laughing playing in a ball pit.,A young girl is playing in a stadium.,2,1,2,0.21428571428571427,0.5714285714285714,31.51239776611328,61.54998779296875,0.7955519556999207,0.8805118203163147,0.8122655749320984,0.6771918833255768,0.016713619232177734
A girl climbing a chain link fence.,The girl climbs the fence to get to school.,entailment,A girl climbing a school fence.,The girl climbs the wall to get to school.,2,2,0,0.25,0.1,33.278846740722656,27.872554779052734,0.9983876943588257,0.9200729727745056,0.6751713156700134,-0.07831472158432007,0.6744040665216744
A man biking down a tunnel.,A man is winning a bike race.,contradiction,A man in last place biking down a tunnel.,A man is driving a car.,2,2,0,0.42857142857142855,0.375,53.73334503173828,92.30878448486328,0.0008257856825366616,0.9814561605453491,0.9997784495353699,-0.01178443431854248,0.993844869080931
"A smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",This man has an eyesight deficiency.,contradiction,"A smiling man with gray hair and fake glasses, dressed in black, is sitting in a chair with a music stand in front of him.",This man has poor eyesight.,2,2,1,0.037037037037037035,0.2857142857142857,17.91461753845215,25.7060546875,0.30834487080574036,0.617392897605896,0.6384389996528625,-0.05555027723312378,0.6197270415723324
Three children are shooting guns in the woods.,Three children are shooting a deer.,contradiction,Three children are shooting wooden targets in the woods.,Three children are shooting a deer with a bow and arrow.,2,2,0,0.2222222222222222,0.7142857142857143,30.62834358215332,71.41769409179688,0.0037361206486821175,0.9879675507545471,0.9988441467285156,-0.0070362091064453125,0.9951080260798335
Four people wearing backpacks walking in a line along a mountain trail.,Four people are walking along a mountain trail trying to get down before the storm.,entailment,Four people wearing backpacks hurriedly walking in a line down a mountain trail as a storm forms.,Four people are following the trail.,2,1,1,0.46153846153846156,0.6875,67.83306121826172,54.24348068237305,0.001523189595900476,0.9616569876670837,0.8832148909568787,0.9601337980711833,0.8816917013609782
Several people talk and drink beer while sitting around a picnic table.,Several friends talk and drink beer while sitting around a picnic table.,entailment,Best buddies talk and drink beer while sitting around a picnic table.,Several people are drinking beer.,2,1,1,0.15384615384615385,0.7692307692307693,37.5223274230957,18.571807861328125,0.0007443214417435229,0.8894107341766357,0.985622227191925,0.8754355134442449,0.9716470064595342
A man in a purple and blue shirt and shorts is getting ready to hit a golf ball.,A man is on a golf course.,entailment,A man in a purple and blue shirt and shorts is getting ready to hit a golf ball out of the course.,A man is wearing a kilt.,2,1,0,0.21052631578947367,0.375,21.383119583129883,20.11421775817871,0.4589954912662506,0.9466261267662048,0.9517158269882202,0.4876306354999542,0.9495103543158621
A man is performing for a group in front of a white house.,The man performed in front of his own house.,contradiction,A man is performing for a group in front of the city house.,The man performed in front of the local library.,2,0,0,0.14285714285714285,0.3,30.074251174926758,31.192054748535156,0.07745150476694107,0.5767572522163391,0.8469611406326294,0.49930574744939804,0.7695096358656883
A young man is playing a blue guitar.,A musician practices on his guitar briefly before a concert.,contradiction,A young man is playing a blue guitar in his bathroom.,A musician practices on his blue guitar.,2,2,1,0.3333333333333333,0.45454545454545453,66.6580581665039,63.81511688232422,0.00036449081380851567,0.9982004165649414,0.6083579063415527,-0.0008522868156433105,0.6079934155277442
Two men help each other cut a sheet of plastic.,Two friends help each other by cutting some plastic.,entailment,Two mates help each other cut a sheet of plastic.,Two friends help each other by cutting a sheet of paper.,2,1,2,0.09090909090909091,0.4,23.978591918945312,39.25151443481445,0.05535174161195755,0.9259159564971924,0.9121275544166565,0.8705642148852348,-0.0312880277633667
An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,entailment,An old man in a blue shirt and white pants glowers by a glass door while resting outside.,A man by a door.,2,1,1,0.1875,1.0,47.71049499511719,74.61219787597656,0.2637862265110016,0.9337347745895386,0.9800798296928406,0.669948548078537,0.716293603181839
"A little girl drawing with chalk, on a chalkboard.",A little girl is drawing on the board during class.,entailment,"A little girl drawing with chalk, on a chalkboard during class.",A little girl is drawing on the board with permanent marker.,2,1,0,0.18181818181818182,0.2727272727272727,37.98100662231445,31.422771453857422,0.01783503033220768,0.8948694467544556,0.9811041355133057,0.8770344164222479,0.9808744516049046
a wet golden retriever is walking through a lake,A wet golden retriever is walking through a lake to find a ball.,entailment,a wet golden retriever is walking through a lake after his ball was thrown in,A wet dog is walking next to the lake.,2,1,0,0.6666666666666666,0.5714285714285714,74.0698013305664,34.836463928222656,0.00032188533805310726,0.8827905058860779,0.45715710520744324,0.882304931001272,0.45683521986939013
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman sitting is asian.,contradiction,A woman is standing up doing some sort of craft. ,The woman is seated.,2,0,1,0.625,0.3333333333333333,59.97846603393555,197.35264587402344,0.0026212281081825495,0.582353949546814,0.9981220364570618,0.5797327214386314,0.997946181014413
People in chairs around a table,The people are eating dinner.,entailment,People in chairs around a table having dinner.,The people are seated.,2,1,1,0.5,0.3333333333333333,166.95118713378906,92.1292953491211,0.0005495059886015952,0.9891090393066406,0.9667074680328369,0.9805830214172602,0.9581814501434565
A group of people wait to cross the street in new york,Some of the people are wearing sunglasses.,entailment,"A group of people, two wearing sunglasses, wait to cross the street in new york",People are crossing the street.,2,1,0,0.4166666666666667,0.875,56.687313079833984,38.95003128051758,0.0007777107530273497,0.8272960186004639,0.9397562146186829,0.8265183078474365,0.9379736437695101
"Two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are colleagues.,entailment,"Two distinguished older business partners wearing glasses stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are wearing glasses.,2,2,2,0.0975609756097561,0.3333333333333333,63.3590087890625,101.86546325683594,0.0009850446367636323,0.908046305179596,0.8030403852462769,-0.09053593873977661,-0.1955418586730957
A young woman dressed in black attaches bags full of flowers to a bicycle.,The flowers are lilacs.,contradiction,A young woman dressed in black attaches bags full of roses to a bicycle.,A man has bags of flowers.,2,0,0,0.06666666666666667,1.2,44.442230224609375,63.86214828491211,0.9981106519699097,0.9370980262756348,0.9922824501991272,0.9354712266940624,0.9906556506175548
"A man stands on a dock near several boats, while 2 other men are on one of the boats.",A man with brown hair is standing on a dock.,contradiction,"A bald man stands on a dock near several boats, while 2 other men are on one of the boats.",A man is in a stadium.,2,0,0,0.047619047619047616,0.5454545454545454,37.061859130859375,23.141937255859375,0.0003799702099058777,0.9860417246818542,0.9994900226593018,0.9854184380383231,0.9988667360157706
A bird is perched on a line of some sort attached to a pole.,A bird is wallowing on a pole.,entailment,A bird is on a line of some sort wrapped around a pole.,A bird is relaxing on a line.,2,2,2,0.2,0.25,28.325448989868164,42.00225830078125,0.014425323344767094,0.8523757457733154,0.5479050278663635,-0.11438798904418945,-0.41885870695114136
A person is on a four wheeler kicking up a lot of dirt in a dune.,The person is in a race.,entailment,A person is racing on a four wheeler kicking up a lot of dirt in a dune.,The person is on a train.,2,2,0,0.058823529411764705,0.2857142857142857,40.75664520263672,33.78632736206055,0.00040300097316503525,0.6715561747550964,0.9798021912574768,-0.325833797454834,0.9793991902843118
"A man wearing an oxford shirt, sunglasses, and a hat smirks.",A man hiding his true identity.,contradiction,"A girl wearing a dress, sunglasses, and a hat smirks.",A man wearing clothes.,2,0,1,0.2857142857142857,0.5714285714285714,41.59419250488281,43.488590240478516,0.014101547189056873,0.9996144771575928,0.9872313141822815,0.9799894690513611,0.9731297669932246
A man in a suit cheering in a library in front of children.,A lawyer is encouraging some children at a contest.,contradiction,A lawyer in a dress reading in a library in front of children.,A woman is cheering in a library.,2,2,0,0.21428571428571427,0.6,56.72175979614258,103.38774108886719,0.00216499250382185,0.996260404586792,0.9980159997940063,0.01746666431427002,0.9789747726172209
Security officer working outside.,A security officer is dressed in a uniform.,entailment,Security uniformed officer working outside.,A security officer might have clothes on.,2,1,2,0.2,0.5555555555555556,179.9735870361328,83.67366027832031,0.040110256522893906,0.9527994990348816,0.9936625957489014,0.9126892425119877,0.0340275764465332
A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man is cleaning the fish that he caught so he can cook it.,entailment,A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table to prepare for cooking.,The man with a mustache is wearing an apron.,2,2,2,0.16,0.8,31.111431121826172,37.053672790527344,0.0004716208204627037,0.9973809123039246,0.9979897737503052,-0.0017334222793579102,-0.001124560832977295
