,orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis
169,neutral,entailment,a wet golden retriever is walking through a lake,A wet golden retriever is walking through a lake to find a ball.,A wet golden retriever is walking through a lake to find a ball.,People are walking through a lake to find a ball.
170,neutral,contradiction,A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman sitting is asian.,,
171,neutral,entailment,People in chairs around a table,The people are eating dinner.,People in chairs around a table are eating dinner.,People are sitting in chairs around a table.
172,entailment,neutral,A performer plays an instrument for the audience.,The performer is making music.,A performer plays an instrument for the audience.,The performer is performing.
173,neutral,entailment,A group of people wait to cross the street in new york,Some of the people are wearing sunglasses.,A group of people wait to cross the street in new york,People are waiting to cross the street in New York.
174,neutral,entailment,"Two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",The older men are colleagues.,,
175,neutral,contradiction,A young woman dressed in black attaches bags full of flowers to a bicycle.,The flowers are lilacs.,A young woman dressed in black attaches bags full of rocks to a bicycle.,People are carrying potted plants on the bicycle.
176,neutral,contradiction,"A man stands on a dock near several boats, while 2 other men are on one of the boats.",A man with brown hair is standing on a dock.,"A man stands on a dock near several boats, while 2 other men are on one of the boats.",A man with blonde hair is standing on a dock.
177,neutral,entailment,A bird is perched on a line of some sort attached to a pole.,A bird is wallowing on a pole.,A bird is perched on a line of some sort attached to a pole.,People are riding bikes on a track.
178,neutral,entailment,A person is on a four wheeler kicking up a lot of dirt in a dune.,The person is in a race.,A person is on a four wheeler kicking up a lot of dirt in a dune.,People are riding bikes on a track.
179,neutral,contradiction,"A man wearing an oxford shirt, sunglasses, and a hat smirks.",A man hiding his true identity.,"A man wearing a baseball cap, sunglasses, and a hoodie smirks.","A man wearing an oxford shirt, sunglasses, and a hat blinks innocently."
180,entailment,neutral,A group of people gathered at night watching an event.,A group of humans are looking at the same direction.,A group of people gathered at night watching something.,The people are gazing at the same object.
181,neutral,contradiction,A man in a suit cheering in a library in front of children.,A lawyer is encouraging some children at a contest.,A man in a suit crying in a library in front of children.,A man in a suit is crying in a library in front of children.
182,neutral,entailment,Security officer working outside.,A security officer is dressed in a uniform.,Security officer working outside. A security officer is dressed in a uniform.,People are dressed in uniforms.
183,neutral,entailment,A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man is cleaning the fish that he caught so he can cook it.,A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,People are cleaning fish on a table.
184,neutral,contradiction,A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are playing musical instruments together.
185,neutral,entailment,Construction workers use cables to hang from the sides of buildings.,Construction workers are brave.,Construction workers use cables to hang from the sides of buildings.,People use cables to hang from the sides of buildings.
186,neutral,entailment,A dark-haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.,A man in a police uniform is talking to another man.,A dark-haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.,A man is speaking to another man on a motorbike.
187,neutral,entailment,A woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet.,Woman takes a break at a museum while her children sit by her feet.,A woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet.,People are standing in a room in front of several paintings while two children sit on the floor at their feet.
188,contradiction,neutral,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,A climber pulls himself up 5000 feet up over a forest,A climber is pulling himself up some gray rocks high above some green foliage.,The climber is ascending a rock face.
189,neutral,entailment,A woman is walking her dog along a snowy ground.,A woman is trying to get her dog to go to the bathroom after it has freshly snowed.,A woman is walking her dog along a snowy ground.,People are walking their dogs along a snowy ground.
190,neutral,entailment,a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys are preparing for their big game that is about to start.,A boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,People are preparing for their big game that is about to start.
191,neutral,entailment,"While two students are jumping, others in a classroom are sitting or standing.",Two students disrupting class.,"While two students are jumping, others in a classroom are sitting or standing, and therefore two students disrupting class.",People are sitting or standing in a classroom while two students are jumping.
192,neutral,entailment,A man alone crosscountry skis in the wilderness while wearing a huge backpack.,A man skis in the wilderness while it's snowing,A man alone crosscountry skis in the wilderness while wearing a huge backpack.,People are skiing in the wilderness while it's snowing.
193,neutral,entailment,A well dressed elderly woman standing in front of a bus decorated with images of purple flowers.,A grandmother is standing in front of a bus with violets decorated all over it.,A well dressed elderly woman stands in front of a bus decorated with images of purple flowers.,People are riding bikes on a track.
194,neutral,entailment,Two girls kissing a man with a black shirt and brown hair on the cheeks.,Two girls kiss there dad.,Two girls kissing a man with a black shirt and brown hair on the cheeks.,Two girls kissing a man with a black shirt and brown hair.
195,neutral,entailment,A large man is sitting in front of a fountain statue while talking on a phone.,The fountain has running water.,A large man is sitting in front of a fountain statue while talking on a phone. The fountain has running water.,People are sitting in front of a fountain statue while talking on a phone.
196,neutral,entailment,a man puts his hands up while telling an amusing story to his friend with a beard.,The man is perplexed by the events.,A man puts his hands up while telling an amusing story to his friend with a beard.,People are listening to an amusing story told by a man with a beard.
197,neutral,entailment,A man with a tattoo on his arm staring to the side with vehicles and buildings behind him.,A man has dragon tattoos on his arm.,A man with a tattoo on his arm staring to the side with vehicles and buildings behind him.,A man has tattoos on his arm.
198,neutral,contradiction,"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.",A man sits by himself at Mardi Gras.,,People are wearing bright pink tutus while sitting by themselves on benches during a funeral procession.
199,entailment,neutral,A crowd of people in winter garb gather in the street against a backdrop of bare trees and snow.,It is cold and snowy outside.,A crowd of people in winter garb gather in the street against a backdrop of bare trees.,The people are bundled up in their coats and hats.
200,neutral,entailment,An Asian man walks a three-wheeled pedal card fully of white bags.,An Asian man walks a three-wheeled pedal card fully of white bags and he can be seen leaving the store.,,People are riding bikes on a track.
201,neutral,contradiction,A couple about to kiss somewhere.,A couple are kissing on new years eve as the ball drops.,A couple about to hug somewhere.,A couple are hugging instead of kissing on New Year's Eve as the ball drops.
202,neutral,entailment,A person in an orange shirt reaching up.,A person is reaching up to grab something.,A person in an orange shirt reaching up.,A person is reaching up.
203,neutral,entailment,A big dog catches a ball on his nose,A dog is playing with his owner,A big dog catches a ball on his nose,A dog is playing with his owner.
204,neutral,entailment,An medical worker examines a young girl.,A health worker is evaluating a girl on her sickness.,An medical worker examines a young girl.,People are being evaluated by a health worker.
205,contradiction,neutral,There is a man poking a long stick up towards the ceiling.,The man has no arms.,There is a man holding a long stick up towards the ceiling.,The man is using a long stick to reach something on a high shelf.
206,neutral,entailment,A man with two small boys making a purchase from a woman.,The man with the little boys is buying a gift from the woman's store.,A man with two small boys making a purchase from a woman.,People are making a purchase from a store.
207,neutral,entailment,A woman standing in front of a large tank at an aquarium turns around to look at the photographer.,A woman wants a new facebook picture of her at the aquarium,A woman standing in front of a large tank at an aquarium turns around to look at the photographer.,People are standing in front of a large tank at an aquarium.
208,neutral,contradiction,A woman standing in front of a wall holding a can of Bud Light with her shirt tied into a semi-halter.,The woman who is shown lives in the South.,A woman standing in front of a wall holding a can of Bud Light with her shirt tied into a semi-halter. The woman is actually from the North.,The woman is from the North.
209,neutral,entailment,A little boy with an orange backpack walks under a tree through the woods.,A boy walks to school through the woods.,A little boy with an orange backpack walks under a tree through the woods.,People are walking through the woods.
210,neutral,entailment,A group of people are gathered on a sidewalk in front of a store nearby a littered street.,A group of people are considering whether to shop at the store.,A group of people are gathered on a sidewalk in front of a store nearby a littered street.,People are gathered on a sidewalk in front of a store nearby a littered street.
211,neutral,entailment,"A man with a blue, collared shirt sits in front of another man.",a man is looking at his friend,"A man with a blue, collared shirt sits in front of another man, looking at him.",A man is sitting in front of another man.
212,neutral,entailment,"Four men in safety gear, one holding a camera, are standing on a platform.",There has been an accident,"Four men in safety gear, one holding a camera, are standing on a platform. There has been an accident.",People are standing on a platform.
213,neutral,contradiction,Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,Two men are arguing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.
214,neutral,entailment,A group of children in costumes are on a stage with red curtains.,a group of children are performing a play,A group of children in costumes are on a stage with red curtains.,People are on a stage with red curtains.
215,neutral,contradiction,A red truck is parked next to a burning blue building while a man in a green vest runs toward it.,The burning blue building will turn to dust after an hour.,A red truck is parked next to a burning blue building while a man in a green vest runs away from it.,The burning blue building will not turn to dust after an hour.
216,neutral,entailment,A man in a blue jogging suit is running on the sidewalk in front of a painting.,The man is sweating from his run.,A man in a blue jogging suit is running on the sidewalk in front of a painting.,People are running on the sidewalk in front of a painting.
217,neutral,entailment,A band performing at a local bar or club.,The band is playing rock music,A band performing at a local bar or club is playing rock music.,People are playing rock music at a local bar or club.
218,neutral,entailment,A group of people are sight seeing and taking pictures.,the group is on vacation,A group of people are sight seeing and taking pictures on vacation.,People are sightseeing and taking pictures on vacation.
219,neutral,entailment,"A little boy with a shirt, shorts and socks on, standing on the beach.",A boy is watching the ocean.,"A little boy with a shirt, shorts, and socks on, standing on the beach, is watching the ocean.",People are watching the ocean.
220,contradiction,neutral,"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","At a rock concert, the audience screams and cries at the handsome singer and his bass guitarist.","Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.",The people are rehearsing.
221,entailment,neutral,A man with a cowboy hat and a gentleman with sunglasses on his head are seated next to each other.,The very differently dressed men sit next to each other,A man with a cowboy hat and a gentleman with sunglasses on his head are seated next to each other.,The men are sitting next to each other.
222,neutral,entailment,Expert snowboard is trying a new trick.,The person is snowboarding on top of a mountain.,Expert snowboarder is trying a new trick on top of a mountain.,People are snowboarding on top of a mountain.
223,neutral,contradiction,A woman lowering ballast on a boat.,The captain of the boat is preparing for rough waters.,A woman lifting ballast on a boat.,The woman is painting the boat.
224,neutral,entailment,A small child is riding in a red wagon.,A kid is in a wagon and someone is pulling it.,A small child is racing in a red wagon.,People are riding bikes on a track.
225,neutral,entailment,A group of people sitting around a table eating food.,People are at a table eating Christmas dinner.,A group of people sitting around a table eating food.,People are at a table eating food.
226,neutral,contradiction,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.,"A person dressed in a dress with flowers and a stuffed bee attached to it, is vacuuming a floor.",People are wearing pajamas while walking down the street.
227,neutral,entailment,"A woman wearing an elaborate array of feathers in her hair, a bead necklace, a medallion, and an aqua, brown, and olive-green dress and looks off to her left, smiling slightly.",A woman smiles at someone to her left,,People are smiling at someone to their left.
228,neutral,contradiction,"A man wearing a checkered shirt, cream suit and tennis shoes sits on a bench.",the guy is on the bench waiting for his wife,"A man wearing a checkered shirt, cream suit, and flip flops sits on a bench.",The guy is on the bench waiting for his dog.
229,neutral,contradiction,Two cars are being driven in a car race.,A Bugatti and a Lambourgini compete in a road race.,Two cars are being driven in a car race. A Honda Civic and a Tesla Model S compete in a road race.,People are driving electric cars in a race.
230,contradiction,neutral,A crowd walks about a square at night with smoke or fog drifting over them.,A group of people walk through tear gas.,A crowd walks about a square at night with smoke or fog drifting over them.,The people are strolling through a fragrant garden.
231,neutral,entailment,"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",Two woman are trying to finish orders from a doctor,"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",People are trying to finish orders from a doctor.
232,neutral,entailment,batter hits a baseball,A man in a baseball game hits a foul ball.,Premise: A batter hits a baseball.,
233,neutral,contradiction,A group of children in African clothing.,Some humans in green clothing,A group of children in African clothing. Some humans in green clothing.,Some animals in purple clothing.
234,neutral,entailment,In this picture it appears that a man is falling off a bull while attempting to ride the animal.,the man is a farmer,In this picture it appears that a man is falling off a bull while attempting to ride the animal. The man is a farmer.,People are riding bulls while attempting to ride them.
235,neutral,contradiction,"A woman is sitting outside at a table, using a knife to cut into a sandwich.",A woman is sitting outside waiting for her friend.,"A woman is sitting outside at a table, using a knife to cut into a sandwich, but she is not waiting for her friend.",A woman is sitting outside waiting for her friend.
236,neutral,contradiction,A group of children playing with props,The children are playing with machine guns.,,
237,neutral,contradiction,An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.,An ugly old man in a pink polo looks through a telescope with a small child standing next to him,An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.,An ugly old man in a pink polo looks through a telescope with a small child standing next to him.
238,neutral,entailment,A woman in a blue apron is holding a container of ice cream.,A woman is standing in a kitchen.,"A woman in a blue apron is standing in a kitchen, holding a container of ice cream.",People are standing in a kitchen.
239,neutral,contradiction,"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting waiting to leave for vacation,"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",A boy is sitting waiting to leave for vacation.
240,neutral,entailment,A black and white picture of a city street with a food vendor in the foreground.,The food vendor is selling hot dogs.,A black and white picture of a city street with a food vendor in the foreground.,People are walking on a city street with a food vendor in the foreground.
241,neutral,contradiction,"A group walking in the middle of a walkway with a green divider, and a woman is walking by herself off to the right.",The group is taking a tour.,"A group walking in the middle of a walkway with a green divider, and a woman is walking by herself off to the left.",People are jogging on the walkway.
242,contradiction,neutral,"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,"A man is pushing a cart, on which large display boards are kept, on a road.",The person is transporting display boards.
243,neutral,entailment,A group of people in front of some tan colored tents from the american Parkinsons disease association.,A group shows up to an event to support research on Parkinsons,A group of people in front of some tan colored tents from the American Parkinson's disease association.,People are in front of some tan colored tents.
244,contradiction,neutral,Two little boys are playing on stairs that have a carpet runner going down them.,Two little boys are pretending they are climbing a large mountain.,Two little boys are playing on stairs that have a carpet runner going down them.,The little boys are sliding down the stairs.
245,neutral,contradiction,A man in a green shirt is getting his feet wet in front of a wall showing a closeup picture of a face.,The man is waiting for his friend to come meet up with him.,A man in a green shirt is getting his feet dry in front of a wall showing a closeup picture of a face.,People are staring at a blank wall.
246,neutral,entailment,A man wearing black pants and a helmet is riding a brown horse.,A man is practicing for a horse race.,A man wearing black pants and a helmet is racing a brown horse.,People are riding a horse.
247,neutral,entailment,A girl in black pants doing exercises.,A girl trying to get fit for a bodybuilding competition.,A girl in black pants is doing exercises to prepare for a bodybuilding competition.,People are exercising on a mat.
248,neutral,contradiction,An Asian wearing a pastel print shirt and sunhat pushing his cart up the street.,An Asian man is selling food.,,
249,neutral,entailment,a woman in a brown dress looking at papers in front of a class.,A woman checking papers is a teacher.,A woman in a brown dress looks at papers in front of a class.,People are riding bikes on a track.
250,neutral,entailment,Woman adjusting her eyeglasses.,Woman adjusting her eyeglasses after reading.,Woman adjusting her eyeglasses after reading.,Woman adjusting her eyeglasses after reading.
251,neutral,entailment,A four piece band plays a song on a medium-size stage.,The band is playing punk rock music.,A four piece band plays a song on a medium-size stage.,People are playing a song on a stage.
252,neutral,contradiction,A young boy in red leaping into sand at a playground.,A young boy jumps onto his friends sand castle at a playground.,A young boy in red leaping into sand at a playground.,A young boy jumps off a cliff at a playground.
253,neutral,contradiction,A man and a Woman cutting dough.,A husband and wife making pizza.,A man and a Woman folding laundry.,A woman and a man cutting dough.
254,neutral,entailment,A man in green pants and blue shirt pushing a cart.,An old man pushing a cart.,A man in green pants and blue shirt pushing a cart.,People are pushing a cart.
255,entailment,contradiction,"In an apparent classroom setting, a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.",The man and woman are cooperating.,,The woman is pointing a gun at the man.
256,neutral,entailment,Dog running with a purple toy in the snowy field.,A dog is excited.,Dog running with a purple toy in the snowy field indicates a dog is excited.,People are running with toys in a field.
257,neutral,contradiction,A young ladies squatting at hillside sipping on a drink the other one with the white purse is talking pictures.,A group of hikers pause for a break.,A young lady is squatting at a hillside sipping on a drink while the other one is not taking pictures.,A group of hikers are taking a selfie.
258,neutral,entailment,Two people are participating in the sport fencing.,Two people competing in a fencing tournament,Two people are competing in a fencing tournament.,People are competing in a fencing tournament.
259,neutral,entailment,A man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left.,The man who just purchased a pinstriped suit for a formal dinner didn't notice the poster to his left that shows a man wearing the same suit.,A man in a pinstriped suit walks down the street and doesn't notice the quirky poster on his left.,People are wearing the same suit as the man who just purchased it for a formal dinner.
260,contradiction,neutral,A man talking into a microphone with a woman standing next to him.,The woman is sitting in the chair next to the podium.,A man talking into a microphone with a woman standing next to him.,The woman is standing next to the man.
261,neutral,contradiction,Two brown and white dogs running on a grassy but brown fenced yard.,"The dogs wanted to find the end of the fence, but it seemed to keep on going, always turning into yet another stretch of distance.",Two black and white dogs running on a grassy but brown fenced yard.,People are playing fetch with the dogs in the yard.
262,neutral,contradiction,A small dog runs to catch a ball.,The dog is a chihuahua.,"A small dog runs to catch a ball, but it's actually a toy cat.",The dog is a pomeranian.
263,neutral,contradiction,A police person is on a motorcycle on the side of a street.,A policewoman is sitting on the motorcycle behind the parked car.,A police person is on a motorcycle on the side of a street.,A policeperson is sitting on the motorcycle in front of the parked car.
264,neutral,entailment,There is a woman in a white tank top and camouflage pants with a big black belt on a stage holding a microphone.,A woman is getting ready to perform a song for the audience.,,People are watching a woman perform a song on a stage.
265,neutral,entailment,Two gondola operators sit along a road in Italy.,The gondola operators are taking a work break.,"Two gondola operators sit along a road in Italy, taking a work break.",People are taking a work break along a road in Italy.
266,neutral,entailment,"A middle-aged woman with red-hair, a white shirt, and a silver beaded necklace is holding a yellow cellphone against her ear while talking.",She was calling her husband on her cellphone.,,People are holding cellphones against their ears while talking.
267,neutral,entailment,a dog jumps over the pole.,"Dog is participating in a competition, showing his agility training.","A dog jumps over the pole, demonstrating its agility training in a competition.","Dog is participating in a competition, showing his agility training."
268,neutral,entailment,A boy posing on the soccer field.,The boy is on a soccer team.,A boy posing on the soccer field.,People are on a track.
269,contradiction,neutral,A woman in a red jacket walks down the street in the rain.,Woman walks down street on sunny day,A woman in a red jacket walks down the street in the rain.,The woman is walking down the street in a yellow jacket.
270,contradiction,neutral,Men wearing blue uniforms sit on a bus.,Men drive the bus into the ocean.,Men wearing blue uniforms ride on a bus.,The men are conducting a concert.
271,contradiction,neutral,A man in a suit cheering in a library in front of children.,A boy is attending a club meeting.,Premise: A man in a suit is reading a book in a library in front of children.,The boy is reading a book in the library.
272,contradiction,neutral,An old man holds up a sign.,A man is sleeping.,An old man holds up a sign.,The old man is holding a sign with a smile.
273,contradiction,neutral,A passenger wearing a life jacket prepares to take a picture of a whale very close to the boat.,A man is taking a picture of a goldfish.,A passenger is taking a picture of a whale very close to the boat.,The man is taking a picture of a dolphin.
274,neutral,contradiction,The man walks among the large trees.,The mas is walking next to dogs.,Seven people are repairing bikes on a sandy track.,The man is walking next to dogs.
275,contradiction,neutral,Several adults look on while a young girl plays in a ball pit.,A young girl is sitting in her chair.,Several adults look on while a young girl plays in a ball pit.,The young girl is playing with her toys.
276,contradiction,neutral,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",Nobody has a tattoo,"A blonde woman with a tattoo of an angel on her arm walking down the street, a concrete wall in the background.",The woman has a tattoo of a bird on her arm.
277,contradiction,neutral,A four piece band plays a song on a medium-size stage.,A three piece band plays a song on a medium-size stage.,A four piece band plays a song on a medium-size stage.,The band is playing a song on a medium-size stage.
278,contradiction,neutral,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is in a green nun uniform,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,The woman is taking a picture with her camera.
279,contradiction,neutral,"A juggler wearing a plaid kilt and a green shirt, juggling.",A person rides a bike down a hill wearing pants.,"A juggler wearing a plaid kilt and a green shirt, juggling.",The person is juggling.
280,contradiction,neutral,A red dog jumps and catches a tennis ball in its mouth.,a man eating popcorn,A red dog jumps and catches a tennis ball in its mouth.,The dog is playing fetch with a toy.
281,contradiction,neutral,A woman cook in an apron is smiling at the camera with two other cooks in the background.,A woman not paying attention to the camera,,The woman is preparing food with a smile on her face.
282,contradiction,neutral,"Two men holding a Chinese lantern that's yellow and red, one man has a drill and the other is smiling.",A man and his daughter build a doghouse while the dog sits behind them.,"Two men holding a Chinese lantern that's yellow and red, one man has a drill and the other is smiling.",The men are constructing a birdhouse while the dog observes.
283,contradiction,neutral,A man with a beard is playing an acoustic guitar on the street.,A woman flashes bystanders.,A man with a beard is playing an acoustic guitar on a street corner.,The man is playing a harmonica.
284,contradiction,neutral,Two men in hard hats and safety neon vests on scaffolding working outside in the daylight.,A school class visits the museum of modern art.,Two men in hard hats and safety neon vests on scaffolding working outside in the daylight.,The men are constructing a building.
285,contradiction,neutral,A blond man playing a guitar.,A bald man is playing a guitar.,A man with blonde hair is playing a guitar.,The man is playing a guitar.
286,contradiction,neutral,Two dancers in pink tops and striped capri bottoms perform on stage barefoot.,Two magicians are performing on stage.,Two dancers in pink tops and striped capri bottoms perform on stage barefoot.,The dancers are performing acrobatic stunts.
287,contradiction,neutral,Expert snowboard is trying a new trick.,The person is surfing on the water.,Expert snowboarder is attempting a new trick.,The person is performing a new trick on the snowboard.
288,contradiction,neutral,A city street corner with two passing bicyclists and several pedestrians.,The people are indoors.,A city street corner with two passing bicyclists and several pedestrians.,The people are waiting in line.
289,contradiction,entailment,A black and white picture of a city street with a food vendor in the foreground.,The colors has disappeared form the world.,A black and white picture of a city street with a food vendor in the foreground entails that the colors have disappeared from the world.,People are riding bikes on a track.
290,contradiction,neutral,A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,The tennis ball is clean.,A brown dog is in the middle of a line of dogs chasing a tennis ball over dirt.,The tennis ball is slightly dirty.
291,contradiction,neutral,An accident involving a green Sudan and a gray van.,Two cars waited patiently for the light to turn green.,An accident involving a green car and a gray vehicle.,The cars were waiting for the light to turn green.
292,contradiction,neutral,"3 cyclists are racing ahead of a red BMW, with the leader wearing solid white helmet and black cycling pants",Three people are riding horses across a course.,Three cyclists are riding bikes across a course.,The people are participating in a cycling race.
293,contradiction,neutral,A snowboarder with a maroon coat sails through the air.,The snowboarder is naked.,A snowboarder with a maroon coat glides through the air.,The snowboarder is wearing a bright yellow jacket.
294,contradiction,neutral,A team of surgeons operate on a female patient.,The surgeons are operating on a male patient.,A team of surgeons operate on a patient.,The surgeons are operating on a patient.
295,contradiction,neutral,An elderly Man wearing a olive green shirt and red and white striped apron is stacking cheese.,A women is eating some friend dumpling dumplings,An elderly Man wearing a olive green shirt and red and white striped apron is carrying cheese.,The woman is eating some dumplings.
296,contradiction,neutral,A lady in a red shirt and bikini bottoms is about to go surfing on a blue board in the ocean.,A woman is surfing in her pool.,A lady in a red shirt and bikini bottoms is about to go surfing on a blue board in the ocean.,The woman is paddleboarding.
297,neutral,contradiction,"A man wearing a purple cap, yellow snow goggles, a periwinkle jacket and red backpack moves quickly through powdery snow near a winter tree.",The man is making a snow angel.,,People are skiing on the powdery snow.
298,contradiction,neutral,A boy is riding down the road between two cows.,A single cow is alone.,A boy is riding down the road between two cows.,The boy is riding between two cows.
299,entailment,neutral,"two male's in a karate class, one who is in the air with a blue and orange belt and one who is about to get kicked in the face.",two people do jump kicks,Two people are practicing karate in a class.,The two people are practicing karate moves.
300,contradiction,neutral,A man walks by a building at night.,A man is sitting in the sun.,A man walks by a building at night.,The man is pacing.
301,contradiction,neutral,A woman runs on the beach.,The old lady spends a good time relaxing on the lounge.,A woman runs on the beach.,The old lady takes a leisurely stroll on the beach.
302,contradiction,neutral,A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,Two men lie on tables in the morgue.,A man stands on a street with a suitcase in front of him while another man examines what is displayed on top of it.,The men are having a conversation.
303,contradiction,neutral,A baby sitting in a highchair looking delighted.,The baby is crying.,A baby sitting in a highchair looking delighted.,The baby is smiling.
304,contradiction,neutral,A person is posed with one leg raised and one arm out at a competition with their teammates in the background.,A man posed with both arms out at a competition.,A person is posed with one leg raised and one arm out at a competition with their teammates in the background.,The person is striking a pose with both arms out at a competition.
305,contradiction,neutral,A man hammering nails on a shed.,The shed is made of t-shirts.,A man hammering nails on a shed.,The man is building a birdhouse.
306,contradiction,neutral,kids are looking at something on a table.,Some kids are burning the table down.,Kids are looking at something on a table.,The kids are drawing on the table.
307,contradiction,neutral,A man wearing a black hat and coat makes a face with a crowd behind him.,A man is taking a shower.,A man is making a face with a crowd behind him.,The man is smiling at the crowd.
308,contradiction,entailment,A couple is eating outside at a table and he is pointing at something.,A couple is eating inside at a table and he is pointing at something.,A couple is eating outside at a table and he is pointing at something.,People are eating inside at a table and he is pointing at something.
309,contradiction,neutral,A young boy wearing an orange uniform stands on the field near a colorful ball.,A girl is wearing a sweater.,A young boy wearing an orange uniform stands on the field near a colorful ball.,The boy is playing soccer.
310,contradiction,neutral,The blue kayak is being ridden over a small waterfall.,A guy is working out in the gym.,The blue kayak is being ridden over a small waterfall.,The kayak is being paddled over a small waterfall.
311,contradiction,entailment,One female and two male musicians holding musical equipment.,There four females,One female and two male musicians holding musical equipment.,People are holding musical equipment.
312,contradiction,neutral,"One man, shirtless, and a woman, clothed, jumping in the water.","Two people are in a helicopter, high above the Sahara desert.","One person, shirtless, and another person, clothed, jumping in the water.",The people are swimming.
313,contradiction,neutral,"Two formally dressed, bald older women",Two long-haired young women.,"Two formally dressed, bald older women.",The two women are twin sisters.
314,contradiction,neutral,A younger couple is walking across a crosswalk outside with a very busy bus stop behind them.,There are people inside of a store.,A younger couple is walking outside with a busy bus stop behind them.,The people are waiting for the bus.
315,contradiction,neutral,A man touching a hanging strand of lamps.,A man has his hands shoved into his coat pockets.,A man is touching a hanging strand of lamps.,The man is juggling three lamps.
316,contradiction,neutral,A mountaineer about to descend down a mountain with a blue helmet on.,A man is drinking hot cocoa inside a lodge.,A mountaineer is descending down a mountain with a blue helmet on.,The mountaineer is taking a break inside the lodge.
317,contradiction,neutral,A dog standing near snow looking at water.,A cat is laying on the couch.,"A dog is standing near water, looking at the snow.",The dog is playing fetch.
318,contradiction,neutral,"Children at daycare playing on rings, and poles, one parent standing and holding her child and one teacher is sitting on the bench watching the others play.",Children are body slamming each other.,"Children at daycare playing on rings and poles, one parent standing and holding her child, and one teacher is sitting on the bench watching the others play.",The children are playing a game of tag.
319,contradiction,neutral,A man sits outdoors with some of his belongings.,A man is inside.,A man is sitting outdoors with some of his belongings.,The man is relaxing outdoors.
320,contradiction,neutral,The dog is in the snow in front of some trees.,A cat plays in the snow.,The dog is in the snow in front of some trees.,The dog is playing in the snow.
321,contradiction,neutral,A motorist gets some air over a rough hill.,A motorist has stalled.,A motorist is driving over a rough hill.,The motorist is coasting.
322,contradiction,neutral,two people riding their bikes down a street together.,A couple gets married at the courthouse.,Two people riding their bikes down a street together.,The people are on a date.
323,contradiction,neutral,The white dog is pulling a large stick.,The dog is taking a nap at the park.,The white dog is pulling a large stick.,The dog is playing fetch at the park.
324,contradiction,neutral,A hand holds a strainer with a small amount of liquid in it with a table with bins in the background.,A city of ice sits in the distance.,A hand holds a strainer with a small amount of liquid in it with a table with bins in the background.,"The hand holds a strainer with a small amount of liquid in it, while in the distance, a city of ice sits."
325,contradiction,entailment,A jubilant crowd dressed fabulously in purple red and yellow-gold move in step on a metropolitan street.,One person walking on the street.,"A jubilant crowd dressed fabulously in purple, red, and yellow-gold move in step on a metropolitan street.",People are walking on the street.
326,entailment,neutral,A group of people is sitting at a large table and using paint brushes to form characters on white paper.,The people are using their fingers to paint with.,A group of people are using paint brushes to form characters on white paper.,The people are using stencils to paint with.
