orig_text,gen_text,grammar_score,cohesiveness_score,likableness_score,fluency_score,contrast_pred
A skier goes down a hill with a mountain as a backdrop. A skier going down a hill.,A snowboarder goes down a hill with a rope as a spectator. A snowboarder goes down a hill.,5,4,4,5,entailment
A man in a brown shirt and blue shorts walking in Droney Park. A man walking in Droney Park.,A man in a blue shirt and blue shorts standing in Droney Park. A man in Droney Park.,5,5,5,5,entailment
"A smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him. This man has an eyesight deficiency.","A man with sunglasses and glasses, wearing sunglasses, is sitting in a chair with a microphone in front of him. This man has an eyesight deficiency.",5,-1,1,4,neutral
A man in a short Mohawk and beard. A man with a short Mohawk and beard stands outside.,A man in a red Mohawk and beard stands outside. A man with a red Mohawk and beard stands outside.,5,5,5,5,entailment
"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court. Four young men looking up at a basketball hoop.","Four young boys stare up at a basketball hoop with no sign, in an orange shirt, wearing basketball pants. Four young boys looking up at a basketball hoop.",5,5,5,5,entailment
"A man with a blue, collared shirt sits in front of another man. a man is looking at his friend","A man with a red, tinted shirt sits in front of his desk. a man is sitting at his desk",-1,5,5,5,entailment
A lit girl splashes around in natural water. A girl splashes in water.,A man splashes outside splashing in white water. A man splashes in water.,5,5,5,5,entailment
At least eight people are sitting at a table in a building that overlooks the city. People sitting on the floor,At least eight people are riding a bike in a park that overlooks the lake. People riding on the lake,2,1,-1,5,neutral
A little boy in a blue shirt is putting some sunglasses up to a window while a lady watches him. A girl puts on some sunglasses,A man in a blue shirt is putting some chicken up to a table while a man watches him. A man puts on some chicken,5,5,5,5,entailment
Two girls kissing a man with a black shirt and brown hair on the cheeks. Two girls kiss there dad.,Two girls kissing a man with a blue shirt and brown hair on the cheeks. Two girls kiss each other.,5,3,5,5,entailment
"A woman wearing an elaborate array of feathers in her hair, a bead necklace, a medallion, and an aqua, brown, and olive-green dress and looks off to her left, smiling slightly. A woman smiles at someone to her left","A woman holding an array of hats in her head, a tadyl, a red lion, and an orange, red, and blue-green shirt and looks forward to her face, smiling at each other. A woman smiles at someone to her face",5,5,5,5,entailment
Two daschunds play with a red ball A cat in a litter box.,Two dash mounds play with a robot A robot in a robot.,1,1,1,3,entailment
There are two people walking in the sand. Two people walk across the beach.,There are two people sitting in the sand. Two people sitting at the beach.,5,5,5,5,entailment
A white greyhound dog wearing a muzzle runs around a track. The dog is not wearing a muzzle.,A white dog wearing a muzzle runs around a fence. The dog is not wearing a muzzle.,1,1,1,1,contradiction
A group of attentive students are paying attention to a college lecture. Some students are attending a class.,A group of people are paying attention to a lecture lecture. Some people are attending a lecture.,5,5,5,5,entailment
A person is posed with one leg raised and one arm out at a competition with their teammates in the background. A man posed with both arms out at a competition.,A person is posed with one man and one man standing out at a table with their camera in the background. A person posed with one man hanging out at a table.,2,1,1,-1,entailment
A red dog jumps and catches a tennis ball in its mouth. a man eating popcorn,A man jumps and catches a fish in its mouth. a man,5,5,5,5,entailment
Artist on street corner selling his artwork. Someone is selling paintings.,Man on stage selling his paintings. Someone is selling paintings.,5,5,5,5,entailment
An accident involving a green Sudan and a gray van. Two cars waited patiently for the light to turn green.,An event involving a parade and a parade. Two men waited patiently for the parade to turn off.,5,3,5,5,entailment
"Four men in safety gear, one holding a camera, are standing on a platform. There has been an accident","Three men in uniform, one holding a hat, are sitting on a bench. There has been an audience",4,1,1,5,entailment
two teen boys in school clothes are walking with something in a garbage bag. Two boys are walking together carrying a bag.,two teen boys dressed in white are playing with something in a pool. Two boys are playing together in a pool.,5,5,5,5,entailment
A person in an orange shirt reaching up. A person is reaching up to grab something.,A person in an orange shirt reaching up. A person is walking to work.,5,1,1,3,neutral
two people riding their bikes down a street together. A couple gets married at the courthouse.,two people walking their bike down a street. A couple gets out at the beach.,5,1,3,5,neutral
"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right. Runners see a dragon costumed person","Runners in red blob, as well as one individual in a t-green blazer, walk to the ground. Runners see a drib",5,1,2,5,entailment
A group of people is sitting at a large table and using paint brushes to form characters on white paper. The people are using their fingers to paint with.,A group of people is sitting at a table and using paint paint to form paint on canvas. The people are using their paint paint to paint with.,5,5,5,5,entailment
A man in a blue jogging suit is running on the sidewalk in front of a painting. The man is sweating from his run.,A man in a jogging suit is sitting on the sidewalk in front of a crowd. The man is sweating from his chair.,5,2,1,4,neutral
A basketball player in a red uniform is trying to make a basket but is being blocked by the opposing team. The basketball player is stretching on the sidelines.,A basketball player in a white shirt is trying to make a basketball game but is being watched by the bowling player. The player is playing on the field.,5,1,3,3,entailment
"One man, shirtless, and a woman, clothed, jumping in the water. Two people are in a helicopter, high above the Sahara desert.","One man, man, and a woman, hooded, sit in the pool. Two people are in a pool, high above the ground.",5,1,2,3,entailment
"A small, pale bird bends down to examine a crumb. The bird is on the ground.","A tall, white dog bends down to examine a tree. The dog is on the ground.",5,5,5,5,entailment
"A lady, dressed in a costume, is posing with an axe in the middle of the woods. A lady with an axe is posing in the middle of the woods.","A man, dressed in a blue shirt, is posing with an animal in the middle of the woods. A man wearing an orange shirt is posing in the middle of the woods.",5,1,1,5,neutral
A woman lowering ballast on a boat. The captain of the boat is preparing for rough waters.,A woman preparing food on a lake. The owner of the lake is preparing food for waters.,4,1,1,3,neutral
"A dark-skinned person, crouched while painting a sign. A white man is painting his house.","A long-skinned person, smiled while painting a wall. A man is painting his wall.",5,5,5,5,entailment
A young man is playing a blue guitar. A musician practices on his guitar briefly before a concert.,A man is playing a baseball. A man practices on his back briefly before a game.,5,4,5,5,entailment
A man wearing black pants and a helmet is riding a brown horse. A man is practicing for a horse race.,A man wearing black pants and a white shirt is wearing a black shirt. A man is wearing black pants for a parade.,1,1,1,2,neutral
Two men are boxing in fighting arena. TWo men are boxing.,Two men are bathing in water. TWomen are bathing.,3,0,2,5,entailment
A young woman dressed in black attaches bags full of flowers to a bicycle. The flowers are lilacs.,A young woman dressed in white attaches a table full of flowers to a table. The flowers are hanging indoors.,5,5,5,5,entailment
A group of adults standing up with children in sports attire kneeling on the ground. A woman drinks moonshine.,A group of men stand up with men in shackling on the sidewalk. A woman drinks undershine.,-1,1,1,1,entailment
A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street. A man is prone on the street while another man stands next to him.,A man with a red shirt is standing on the sidewalk and standing next to someone who is standing on the sidewalk. A man is seated on the sidewalk while another man stands next to him.,5,4,3,5,contradiction
A girl in black pants doing exercises. A girl trying to get fit for a bodybuilding competition.,A girl in white doing laundry. A girl trying to get ready for a meal.,5,1,1,4,entailment
Two men help each other cut a sheet of plastic. Two friends help each other by cutting some plastic.,Two men help each other cut a piece of plastic. Two men help each other by cutting some plastic.,-1,5,5,5,entailment
Expert snowboard is trying a new trick. The person is snowboarding on top of a mountain.,Man is trying a new game. The man is staring on top of a new game.,3,2,3,3,entailment
Expert snowboard is trying a new trick. The person is surfing on the water.,Man is trying a new job. The man is working on the job.,5,5,5,5,entailment
Expert snowboard is trying a new trick. The person is snowboarding.,Snow snowboard is trying a new snowboard. The snowboarder is snowboarding.,5,5,5,5,contradiction
Several adults look on while a young girl plays in a ball pit. A young girl is sitting in her chair.,Several young girls walk on while a young girl walks in a park. A young girl is walking in her park.,5,5,5,5,entailment
Several adults look on while a young girl plays in a ball pit. A young girl is having fun.,Several young girls look down while a young girl plays in a park. A young girl is having fun.,5,5,5,5,entailment
Security officer working outside. A security officer is dressed in a uniform.,Police officer working overtime. A police officer is working in a police uniform.,-1,5,5,5,entailment
The cyclist rides on a wooded path. The cyclist rides with a companion on a wooded path,The man rides on a wheeled wheel. The man rides with a wheel on a wheeled wheel,5,5,-1,5,entailment
a wet golden retriever is walking through a lake A wet golden retriever is walking through a lake to find a ball.,a wet dog retriever is walking through a field A wet dog retriever is walking through a field to find a dog.,5,5,5,5,neutral
A man walks by a building at night. A man is sitting in the sun.,A man walking by a tree at sunset. A man is walking in the park.,5,4,5,5,entailment
A worker is preparing fish to be sold at a market. A person is on a boat fishing.,A man is begging to be seen at a park. A man is on a park.,5,3,2,5,entailment
A young ladies squatting at hillside sipping on a drink the other one with the white purse is talking pictures. A group of hikers pause for a break.,A young man sat at seaside sipping on a drink the other one with the name is talking pictures. A group of young men sits seated for a drink.,3,2,3,4,entailment
A bird is perched on a line of some sort attached to a pole. A bird is wallowing on a pole.,A man is twitched on a side of some sidewalk to a sidewalk. A man is tallowing on a sidewalk.,1,0,1,2,entailment
A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street. A man is kissing a woman,A man wearing a sleeved short-sleeved shirt kisses a woman wearing a blue shirt while sitting on a bench. A man is kissing a woman,5,5,5,-1,entailment
"While two students are jumping, others in a classroom are sitting or standing. Two students disrupting class.","While two students are swimming, others in a swimming pool are swimming or swimming. Two students bathing outdoors.",4,1,3,4,entailment
A photo of a woman in a black coat standing in front of a large two-paneled photo depicting a woman in a gray dress looking down with her hand in a bag. The photo was of two men.,A photo of a woman in a white shirt in front of a t-shirted shirt depicting a woman in a blue shirt looking down at her face in a red shirt. The photo was of a woman wearing blue.,5,3,3,5,entailment
A woman runs on the beach. The old lady spends a good time relaxing on the lounge.,A woman walking on the beach. The woman spends a good day on the beach.,5,5,5,5,entailment
An old man holds up a sign. A man is sleeping.,An old man holds up a stool. A man is holding a stool.,5,5,5,5,entailment
Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center. men using metal rods,Several men in white t-shirts and jeans are using with metal poles to fix a wall that's lying on a wall with a hole in the center. Men using metal poles,5,5,3,5,entailment
Two women look at a table with assorted items on it in some sort of market that others are currently browsing. two women are looking,Two women look at a storefront with as many men on it in some sort of way that they are looking at. two women are looking,5,5,5,5,entailment
An Asian lady is holding a cup and sitting in front of a table covered in different foods. There is a table next to a lady.,An old lady is wearing a black and white shirt standing in front of a crowd in front of a crowd. There is a lady standing next to a crowd.,2,0,1,5,entailment
A fireman searching for something using a flashlight. A fireman is in the dark.,A firefighter searching for fire using a fireman. A fireman is in the background.,5,1,3,5,entailment
A dark-haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike. A man in a police uniform is talking to another man.,A dark-haired man in a white shirt is speaking to a man wearing a black and black shirt on a red shirt. A man in a black shirt is talking to another man.,5,2,3,5,entailment
There is a man poking a long stick up towards the ceiling. The man has no arms.,There is a man poking a ball up towards the camera. The camera has no camera.,1,1,1,1,contradiction
A young girl with water wings leaps into a crowded pool There are people in a pool.,A little girl with water jumps into a pool There are people in a pool.,5,5,5,5,entailment
A woman is walking her dog along a snowy ground. A woman is trying to get her dog to go to the bathroom after it has freshly snowed.,A woman is trying to get her dog to a snowy park. A woman is trying to get her dog to go to the park while it has snowed snow.,5,5,5,5,entailment
A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. The woman is wearing a full sleeved jacket.,A woman with a black and white shirt is holding her hand up above a black and white shirt that is white. The woman is wearing a full sleeved shirt.,5,3,3,4,entailment
A man sitting and a woman laying in his lap kissing each other. A man sitting and woman laying in his lap.,A man and a woman laying in his boating boat. A man and woman laying in his boat.,5,5,5,5,entailment
"The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture. A man covered in paint takes a photo.","The man who had been splattered with paint colors of red, orange, and red held up his head to take a picture. A man in red takes a picture.",5,5,4,5,entailment
A person standing next to an old dark building. A person standing near a building.,A person walking next to an empty building. A person walking near a building.,5,5,5,5,entailment
a dog jumps over the pole. dog is jumping over a pole,a man jumps over the fence. Man is jumping over a fence,5,5,5,5,entailment
"a dog jumps over the pole. Dog is participating in a competition, showing his agility training.","a man leaps over the grass. man is participating in a parade, showing his friends.",4,1,3,3,neutral
A four piece band plays a song on a medium-size stage. A three piece band plays a song on a medium-size stage.,A young piece boy plays a guitar on a medium-size scale. A young piece boy plays a guitar on a medium-size scale.,5,5,5,5,contradiction
A four piece band plays a song on a medium-size stage. The band is playing punk rock music.,A small piece musician plays a guitar on a medium-size stage. The musician is playing kitty music.,5,3,2,5,entailment
"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights. People in costumes","Two men in white suits with white jackets, top hats, black and white jackets that contain white electrical lights. People in uniform",5,1,1,4,entailment
One female and two male musicians holding musical equipment. There four females,One female and two men holding food. There are two females,2,0,1,5,entailment
A big dog catches a ball on his nose A dog is playing with his owner,A man catches a ball on his head A man is playing with his head,3,3,2,5,entailment
A performer plays an instrument for the audience. The performer is making music.,A snowboarder plays an instrument for the camera. The snowboarder is making waves.,3,1,1,1,entailment
A young boy hanging on a pole smiling at the camera. The young boy is smiling.,A young boy sitting on a bench smiling at the camera. The young boy is smiling.,5,5,5,5,entailment
A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean. She has a conversation on her phone outdoors,A woman talks on a microphone while sitting in front of mirrors that are in front of the camera. She has a microphone on her face,-1,5,2,5,entailment
"Two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses. The older men are colleagues.","Two distinguished craftsmen stand outside a building, trees in background, both with white hair, the painter still having his hand about the man's face as they face the camera from behind their oppressive head. The two men are standing outside.",5,1,4,5,entailment
"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks. A woman is preparing food for a child.","An Asian woman in a white dress preparing a cup of coffee for the crowd near home, while an Asian man eats a cup and prepares to take some coffee up with his burgers. A woman is preparing dinner for a crowd outside.",3,1,2,3,neutral
2 people with backpacks are at a table with a woman with a beige blazer sitting behind it. 10 people are kissing,2 people with white hats are at a table with a woman with a woman holding it. 10 people are siting,3,1,3,4,entailment
"Two black guys, that are on rival teams playing basketball. Two women playing basketball.","Two men, that are on different teams playing baseball. Two men playing baseball.",5,5,5,3,entailment
Two cars are being driven in a car race. A Bugatti and a Lambourgini compete in a road race.,Two Bugatti men are being watched in a parade. A Bugatti men watch a bourgini parade in a parade.,3,1,1,5,entailment
"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break. There are people seated.","Men in yellow green shorts sit on a hill yellow, sitting and having a picnic. There are people outside.",5,5,5,5,entailment
"A middle-aged woman with red-hair, a white shirt, and a silver beaded necklace is holding a yellow cellphone against her ear while talking. She was calling her husband on her cellphone.","A middle-aged woman with long-hair, a white shirt, and a white beard is wearing a yellow shirt against her head while sitting outside. She was holding her head on her head.",2,1,1,1,entailment
A black and white picture of a city street with a food vendor in the foreground. The colors has disappeared form the world.,A black and white picture of a man with a black shirt in the foreground. The man has black form the picture.,5,3,3,5,entailment
A black and white picture of a city street with a food vendor in the foreground. The food vendor is selling hot dogs.,A black and white picture of a food truck with a truck in the foreground. The food truck is empty.,5,1,1,5,entailment
A person sweeping stairs in a park. A person outside.,A person seated in a chair. A person seated outside.,5,3,3,5,entailment
A white and black spotted dog is running through a grassy area. A dog is outdoors.,A black and black hat is walking through a snowy area. A black hat is walking.,5,5,5,5,entailment
Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches. A man is yelling.,Man in blue shirt yells and points off-camera while a man in a blue shirt and blue shirt watches. A man is yelling.,5,5,2,5,entailment
"A man sitting on a statue outdoors, near a woman standing next to him. children playing baseball at the park","A man sitting on a bench, near a woman standing next to him. Man sitting at the bench",5,4,5,5,entailment
"A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket. The blanket is black.","A woman with a white shirt over her head is wearing a blue shirt in a red, pink, and yellow shirt. The woman is wearing blue.",3,4,3,3,entailment
A girl climbing a chain link fence. The girl climbs the fence to get to school.,A girl riding a bike. The girl climbs the bike to get to school.,5,1,1,5,contradiction
"A woman is sitting in a chair, while a man is going through the sport utility vehicle. a girl is sitting waiting to leave for vacation","A woman is sitting in a chair, while a girl is walking through the street. a girl is sitting waiting to wait for dinner",1,1,0,1,neutral
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face. A person is consuming food.,The man wearing white hat and white polka-shirt is eating and looking to his food while the man behind him has a smile on her face. A person is consuming food.,5,1,3,3,entailment
Several people talk and drink beer while sitting around a picnic table. Several friends talk and drink beer while sitting around a picnic table.,Several people talk and drink beer while walking around a park. Several people talk and drink beer while walking around a park.,5,5,5,5,entailment
The man in the sailor suit is holding literature. A chef is cooking stew.,The man in the sailor is holding literature. A man is cooking food.,5,1,1,1,entailment
A man talks to two guards as he holds a drink. The prisoner is talking to two guards in the prison cafeteria.,A man talks to two cyclists as he rides a bike. The man is talking to two cyclists in the tiger.,1,1,0,1,entailment
A young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench. A woman reading a book while sitting on a bench.,A young woman wearing a white shirt and off-white shorts is reading a book while sitting on a bench. A woman reading a book while sitting on a bench.,5,5,5,5,entailment
A younger couple is walking across a crosswalk outside with a very busy bus stop behind them. There are people inside of a store.,A man is walking across a street with a very busy street behind them. There are people outside of a street.,3,3,3,5,entailment
A wall hung with multicolored crosses is visible behind the group of young men as they converse. Young men are talking,A group hung with multicolored clothing is visible behind the eyes of young men as they rode. Young men are walking,3,1,1,5,entailment
Two women wearing red are smiling at the camera. With their backs turned to the camera were two women wearing blue dresses,Two women wearing sunglasses are standing at the beach. With their knees turned to the beach while were two women wearing sunglasses,2,1,2,5,entailment
A man hammering nails on a shed. The shed is made of t-shirts.,A man hammering nails on a wall. The wall is made of t-shirts.,1,1,1,1,contradiction
A man wearing a business suit holds up a drink as the other laughs. the man is crying and writing,A man wearing a red shirt holds up a drink as the crowd laughs. the man is smiling and smiling,5,5,5,5,entailment
"A man wearing a checkered shirt, cream suit and tennis shoes sits on a bench. the guy is on the bench waiting for his wife","A man wearing a hammered shirt, jeans and black shoes sits on a bench. the man is on the bench waiting for his son",5,5,5,5,neutral
Some folks pick out the food they want at a party. The party-goers are perusing the buffet.,Some ski pick out the snow while they ride a bike. The snow-covered skiers are perusing the snow.,3,1,1,1,entailment
A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees. the woman is hanging out with her kids,A woman sits on a bench overlooking a tree and shaded shrubs and tall trees. the woman is sitting on her desk,1,1,1,1,contradiction
A man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained. the man is sitted in the bar,A man in a dark white shirt but white hair walks to the street in a city that has recently walked. the man is busted in the street,3,1,1,3,neutral
A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars. a gymanst performing,A blot is not defying people as she performs an electric guitar several feet above the ground. a leanswoman performing,-1,1,5,5,entailment
A man and a Woman cutting dough. A husband and wife making pizza.,A man and a Woman making crafts. A man and wife making crafts.,5,5,5,5,entailment
A man with two small boys making a purchase from a woman. The man with the little boys is buying a gift from the woman's store.,A man with two small children making a sandwich from a hamburger. The man with the children is buying a sandwich from the farmer's market.,5,1,1,5,neutral
Three women are dancing among the bamboo. A group of men are fencing.,Three women are dancing at the beach. A group of men are dancing.,3,3,5,5,entailment
A man has wrecked his racing bike in the dirt with five spectators behind a rope. A man has damaged something.,A man has wrecked his bike in the air with five cyclists holding a car. A man has damaged something.,1,1,1,1,entailment
A man with a tattoo on his arm staring to the side with vehicles and buildings behind him. A man has dragon tattoos on his arm.,A man with a blue shirt on his head staring to the camera with sunglasses and sunglasses behind him. A man has blue shorts on his head.,1,1,1,1,neutral
A woman cook in an apron is smiling at the camera with two other cooks in the background. A woman not paying attention to the camera,A woman dressed in an orange shirt is smiling at the camera and two other spectators in the background. A woman not paying attention to the camera,5,1,1,5,entailment
A group of children playing with props The children are playing with machine guns.,A group of children playing with ropes The children are playing with rope.,5,5,5,5,entailment
A photographer and assistant take a photo of a man in a suit and a woman in a dress in front of large white columns and a yellow wall. The photographer is taking a photo of a dog.,A man and woman take a photo of a man in a white shirt holding a woman in a red shirt in front of large shirts and a black shirt. The man is holding a photo of a man.,5,1,2,5,entailment
A woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet. Woman takes a break at a museum while her children sit by her feet.,A woman wearing a black shirt stands on a sidewalk in front of several people while two girls sit on the sidewalk at her desk. Woman takes a break at a desk while her desk chairs sit at her desk.,5,1,1,5,neutral
A mountaineer about to descend down a mountain with a blue helmet on. A man is drinking hot cocoa inside a lodge.,A teddy bear about to walk down a street with a wooden bench on. A man is drinking hot cocoa powder at a restaurant.,5,1,3,3,contradiction
A woman in a red jacket walks down the street in the rain. Woman walks down street on sunny day,A woman in a black shirt walks down the street in the street. Woman walks down street on sidewalk,5,5,5,5,entailment
Woman adjusting her eyeglasses. Woman adjusting her eyeglasses after reading.,Woman adjusting her toes. Woman adjusting her toes daily.,5,1,3,5,entailment
A young boy wearing an orange uniform stands on the field near a colorful ball. A girl is wearing a sweater.,A girl wearing an orange shirt stands on the ground near a church building. A girl is wearing a red shirt.,5,1,1,5,contradiction
A crowd of people in winter garb gather in the street against a backdrop of bare trees and snow. It is cold and snowy outside.,A group of people in blob gather in the snow against a backdrop of rocky trees and trees. It is snowy and snowy weather.,5,5,5,5,entailment
A man with a cowboy hat and a gentleman with sunglasses on his head are seated next to each other. The very differently dressed men sit next to each other,A man with a cowboy hat and a man with sunglasses on his head are seated next to each other. The very young man sit next to each other,3,1,1,5,entailment
A man in a purple and blue shirt and shorts is getting ready to hit a golf ball. A man is on a golf course.,A man in a black shirt and jeans and shorts is getting ready to hit a road. A man is on a road.,5,1,1,-1,entailment
"Two babies, one in red, asleep in their highchairs. babies are asleep","Two babies, one in white, asleep in their bed. babies are sleeping",5,5,5,5,entailment
The blue kayak is being ridden over a small waterfall. A guy is working out in the gym.,The man is being walked over a small waterfall. A man is walking in the water.,5,3,5,5,entailment
People in chairs around a table The people are eating dinner.,People in walking around a park The people are walking.,5,5,5,5,entailment
A group of people are gathered on a sidewalk in front of a store nearby a littered street. A group of people are considering whether to shop at the store.,A group of people are sitting on a bench in front of a table nearby a teddy bear. A group of people are sitting whether to sit at the table.,5,1,2,5,entailment
A man alone crosscountry skis in the wilderness while wearing a huge backpack. A man skis in the wilderness while it's snowing,A man cross skis in the snow while riding a bike. A man skis in the snow while it's snowing,1,1,1,2,entailment
A group of people sitting around a table eating food. People are at a table eating Christmas dinner.,A group of people sitting around a table eating food. People are at a table eating food.,5,5,5,5,entailment
An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand. The teenager is sliding down the railing.,An asian man wearing a red shirt with black stripes is sitting on the ground with his head resting on his head. The man is sitting down the street.,5,-1,3,5,entailment
A man with a pinstriped shirt and tan slacks adjust his tie while looking at a apple laptop computer. A woman adjusts her bra,A man with a striped shirt and lean slacks adjust his face while sitting at a apple bench. A woman adjusts her face while sitting,5,4,4,5,entailment
a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves. Three boys are preparing for their big game that is about to start.,a boy in a blue shirt is standing next to a boy in white and a boy in white and they are smiling. Three boys are preparing for their wedding that is about to start.,5,3,5,5,entailment
Construction workers use cables to hang from the sides of buildings. Construction workers are brave.,Construction workers use concrete to move from the ground of buildings. Construction workers are using concrete.,3,5,5,5,entailment
A police person is on a motorcycle on the side of a street. A policewoman is sitting on the motorcycle behind the parked car.,A young person is on a sidewalk on the back of a building. A man/woman is sitting on the sidewalk behind the building.,5,3,5,5,entailment
The black woman is laying out literature. A black woman is handling printed material.,The young woman is laying out outside. A young woman is outside.,5,5,5,5,entailment
Two men in hard hats and safety neon vests on scaffolding working outside in the daylight. A school class visits the museum of modern art.,Two men in black hats and safety neon vests on marching working outside in the air. A man visits the streets of Chicago.,3,1,1,2,neutral
An adorable child leaping to block a soccer ball from entering the goal. A child blocks a goal with his hockey stick.,An infant pretending to block a goal from entering the box. A child blocks a goal with his hand.,5,5,5,5,neutral
An Indian woman stands in an outdoor marketplace. A female is outdoors at a bazaar.,An elderly woman stands in an indoor park. A female is standing at a park.,5,4,4,5,entailment
A young couple and many others out enjoying themselves at an outdoor street event. The young couple are looking at goods being sold by the street vendors.,A young couple and many others outlining themselves at an auction. The young couple are looking at items being sold by the auction.,5,5,4,5,entailment
Several street vehicles pass by a traditional architecture style of Thailand. Vehicles are going down a street in Thailand.,Several motorcyclist vehicles pass by a crowd of people. Vehicles are walking down a street in silence.,5,1,1,1,entailment
A man in a green shirt is getting his feet wet in front of a wall showing a closeup picture of a face. The man is waiting for his friend to come meet up with him.,A man in a blue shirt is getting his camera in front of a camera showing a standup picture of a man. The man is waiting for his camera to show up with him.,5,3,4,-1,entailment
A man in renaissance clothing is sitting on a brick wall. The man is in costume,A man in renaissance suits is sitting on a bench. The man is in renaissance suits,5,5,5,5,entailment
Four women standing around a yellow table are looking at laptops. A group of women looking at laptops together.,Three women standing around a table are looking at mirrors. A group of women looking at mirrors outside.,5,1,2,3,neutral
A solo cyclist is riding down a windy road. A cyclist rides down a road,A horse is riding down a hilly hill. A horse rides down a hill,5,5,5,5,entailment
A man is working in an art studio and is surrounded by art supplies. A man is working on art.,A man is working in an office and is surrounded by people. A man is working on projects.,5,5,5,5,entailment
A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race. A team of youths race to finish first in a relay race on a beach.,A man in a long-sleeve shirt with a red numbered shirt is finishing a second to a man in a red numbered shirt during a race. A group of men wear red sleeve shirt to finish first in a red shirt on a racetrack.,4,1,3,4,entailment
a big black dog jumps in the air to catch the tennis ball in his mouth. A dog is jumping.,a man jumps in the air to catch the ball in his mouth. A man is jumping.,5,5,5,5,entailment
Two dancers in pink tops and striped capri bottoms perform on stage barefoot. Two magicians are performing on stage.,Two dancers in pink hats and pripricots perform on stage shirts. Two dancers are performing on stage.,5,3,5,5,entailment
A man sits on a couch beside a colorful cushion with a pencil in his hand. The man is holding a pencil.,A man sits on a bench beside a man with a microphone in his hand. The man is holding a microphone.,3,5,5,5,entailment
A few women and children are collecting items from rocks. People are throwing rocks.,A few women and men are collecting food from trees. People are collecting food.,5,5,5,5,entailment
The man walks among the large trees. The mas is walking next to dogs.,The tree stands among the pine trees. The bushes is standing next to trees.,4,2,3,3,entailment
A person in blue is the only person currently throwing their ball at a bowling alley. The person is eating nachos.,A person in red is the only person currently holding their hand at a bowling volley. The person is wearing red polos.,5,5,3,5,entailment
A man with thinning hair looking into glasses through glasses. A man with thinning hair.,A man with winning glasses looking into glasses and glasses. A man with winning glasses.,1,1,1,5,entailment
A man pointing into the ear wearing a striped shirt in a small boat filled with many people. A man is pointing into the foot and wearing a striped shirt.,A man pointing into the horizon wearing a blue shirt in a crowd filled with many people. A man is pointing into the horizon and wearing a red shirt.,5,1,1,2,entailment
"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels. The rider and horse are covered in gear.","Mountain biker in talcob rides noodle, also wearing nial helmets and tassels. The rider and snowboarder are covered in snow.",5,1,1,3,contradiction
A small dog runs to catch a ball. A little dog chases a ball.,A small dog trying to catch a squirrel. A small dog chases a squirrel.,5,5,5,5,entailment
A small dog runs to catch a ball. The dog is a chihuahua.,A man trying to ride a bike. The man is a huahua.,1,1,1,1,neutral
"A man in gray on a rocky cliff, overlooking the mountains. A man can see mountains from where he stands.","A man in blue jeans sit on a hill, overlooking the mountains. A man can see mountains from where he stands.",5,5,5,5,neutral
A jubilant crowd dressed fabulously in purple red and yellow-gold move in step on a metropolitan street. One person walking on the street.,A jubilant man dressed solely in purple pants and yellow-gold move in front on a sidewalk. One person walking on the sidewalk.,4,1,3,5,entailment
A woman is leaning down while talking to her phone. A woman is using a phone,A woman is curling up while listening to her friend. A woman is holding a candle,5,3,3,5,neutral
People standing in front of a gray building with a sign that reads' Tickets Available Here'. The people are standing outside.,People stand in front of a crowd with a sign that reads' Tickets 'Ticket'. The people are outside.,5,5,5,5,entailment
Two women bend over to touch a small kangaroo. Two women are petting a kangaroo,Two women walking to watch a margaroo. Two women are jotting a margaroo,1,1,1,5,neutral
