Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,grammar_premise_gen_gpt_0.2,grammar_hypothesis_gen_gpt_0.2,cohesiveness_premise_gen_gpt_0.2,cohesiveness_hypothesis_gen_gpt_0.2,likableness_premise_gen_gpt_0.2,likableness_hypothesis_gen_gpt_0.2,fluency_premise_gen_gpt_0.2,fluency_hypothesis_gen_gpt_0.2,grammar_premise_gen_gpt_1.0,grammar_hypothesis_gen_gpt_1.0,cohesiveness_premise_gen_gpt_1.0,cohesiveness_hypothesis_gen_gpt_1.0,likableness_premise_gen_gpt_1.0,likableness_hypothesis_gen_gpt_1.0,fluency_premise_gen_gpt_1.0,fluency_hypothesis_gen_gpt_1.0,grammar_premise_gen_mistral_0.2,grammar_hypothesis_gen_mistral_0.2,cohesiveness_premise_gen_mistral_0.2,cohesiveness_hypothesis_gen_mistral_0.2,likableness_premise_gen_mistral_0.2,likableness_hypothesis_gen_mistral_0.2,fluency_premise_gen_mistral_0.2,fluency_hypothesis_gen_mistral_0.2,grammar_premise_gen_mistral_1.0,grammar_hypothesis_gen_mistral_1.0,cohesiveness_premise_gen_mistral_1.0,cohesiveness_hypothesis_gen_mistral_1.0,likableness_premise_gen_mistral_1.0,likableness_hypothesis_gen_mistral_1.0,fluency_premise_gen_mistral_1.0,fluency_hypothesis_gen_mistral_1.0
69,a fireman searching for something using a flashlight.,a fireman is in the dark.,a fireman'for help using a machine.,[CLS] fireman is in the cockpit.,2,0,0,0.5555555555555556,0.5714285714285714,96.43540954589844,138.55809020996094,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,5,1,1,1,3,1,3,1,2,1,1,1,1,1,3,1
70,a male with a prosthetic leg diving for a volleyball.,the male has at least one prosthetic leg.,a ship with a prosthetic leg except for a landfall.,[CLS] male has issue a six quadsthetic leg.,1,2,2,0.2727272727272727,0.7777777777777778,278.8905334472656,63.23296737670898,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,4,2,5,3,5,1,5,4,4,3,4,5,3,2,5,5
71,a man sits at a table in a room.,a man sits.,a girl looks at a table in a room.,she man sits.,1,0,0,0.2,0.25,83.26998138427734,58.10094833374024,3,2,3,2,2,1,3,2,3,2,3,2,3,1,2,1,5,1,3,0,3,0,5,5,5,1,2,0,3,1,5,5
72,violin soloists take the stage during the orchestra's opening show at the theater.,people are playing violin on stage.,supporting dancers take the stage during the orchestra's opening show at the end.,alone are the fairies on stage.,1,0,0,0.2,0.4285714285714285,101.7343521118164,120.7817153930664,3,2,2,2,3,2,2,2,4,2,2,3,3,2,2,2,5,3,3,1,5,3,5,5,5,2,1,1,3,3,5,5
73,women in costume stand on a stage.,the women are on stage.,men in costume appear on a stage.,[CLS] <'only tour.,1,0,0,0.25,1.1666666666666667,471.9194946289063,78.79266357421875,2,3,2,2,2,3,2,2,2,3,2,1,4,3,2,2,5,1,5,0,5,0,5,3,5,3,5,1,5,1,5,4
74,"a race car, numbered 104 is rounding a bend as two people watch and take pictures.",people are taking pictures.,"a police car, no, is guarding a bar where two people appear and take cover.",people are drawing pictures.,1,0,0,0.4444444444444444,0.2,244.6981201171875,128.97593688964844,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,5,3,5,1,3,3,3,3,5,4,5,1,3,3,3,1,5
75,two young boys are playing in a fountain in a city plaza.,kids are are standing in a fountain.,two different sets are represented in a statue in a city park.,emperors are are seated in a fountain.,1,0,0,0.3846153846153846,0.25,103.9070816040039,139.74041748046875,4,2,2,1,2,1,4,1,2,2,2,1,2,1,4,1,4,1,1,1,3,1,3,1,3,3,2,1,2,1,3,2
76,two young ladies walking down the street together.,"there are two woman in this picture, and they are both outside.",two different boys found down the back fascinated.,"there are two women in a bar, and they are both married.",1,0,0,0.5555555555555556,0.2857142857142857,25.453989028930664,157.73214721679688,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,3,5,3,1,3,3,5,3,3,5,1,1,1,2,3,4
77,"one young boy in a yellow long - sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",an adult using a video camera.,"one young boy in a gray shirt, sleeved shirt and jeans sitting down, with the sidewalk in front of him, zebra operating a camera camera.",an idol throwing a handheld camera.,1,0,0,0.2413793103448276,0.4285714285714285,76.95154571533203,68.21044158935547,2,2,2,1,2,2,3,2,2,3,2,1,1,1,2,2,3,5,1,1,2,3,3,3,4,5,1,3,3,5,3,3
78,a woman is leaning down while talking to her phone.,a woman is using a phone,a woman is sitting down and listening to her reflection.,[CLS] woman is smoking a cigarette,1,0,0,0.3636363636363636,0.8333333333333334,83.65056610107422,51.8766975402832,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,5,1,3,1,3,1,5,1,5,1,2,1,3,1,5,1
79,a skier goes down a hill with a mountain as a backdrop.,a skier going down a hill.,a volcano goes up a hill with a mountain as a backdrop.,also skier training down the hill.,1,0,2,0.1538461538461538,0.4285714285714285,66.25054931640625,58.42906188964844,2,3,2,3,3,4,3,4,2,3,3,4,2,4,2,3,3,5,1,5,3,5,3,5,2,5,1,5,3,5,3,5
80,"women of india performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,"women of india sculpture with blue streamers, in dark blue water.",##oese women perform best in gold costumes,1,0,0,0.2307692307692307,0.7142857142857143,442.001953125,219.0781707763672,4,2,4,2,4,2,4,2,4,2,3,2,4,2,3,2,5,1,5,1,5,1,5,3,5,3,5,1,5,1,5,3
81,a gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,a snow is shown defying convention as she performs an elaborate song several feet above the hotel bars.,[CLS] student danet moment,1,0,2,0.3157894736842105,2.0,211.3558654785156,544.8169555664062,2,4,2,5,2,4,2,5,2,4,2,5,2,4,3,4,4,3,3,0,3,2,4,5,4,2,3,0,3,1,4,5
82,players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an astroturf field.,the players are playing a sport.,teams are two unionist teams with iron cleats modified to take control over a field on an icturf field.,[CLS] teams are playing a clock.,1,2,0,0.45,0.7142857142857143,120.04888916015624,163.81655883789062,2,2,2,2,2,2,1,4,2,3,2,1,3,3,1,3,5,1,5,1,3,1,5,1,5,1,5,1,5,1,5,1
83,a young girl looking down through some leaves from atop a tree.,there is a girl outdoors.,a young man with down on a room. manning a room.,misty is a girl survivor.,1,0,2,0.6153846153846154,0.3333333333333333,139.56607055664062,131.6795196533203,2,3,1,2,1,2,2,2,2,4,2,3,1,2,2,2,2,5,1,1,1,3,3,5,2,4,1,3,2,3,3,4
84,a man holding a baby who is petting a pony.,a man with a baby is petting a pony.,a man like a devil who is petting a knife.,[CLS] man with a sheep is petting a pony.,1,0,0,0.2727272727272727,0.4,48.38733673095703,73.6604995727539,2,2,1,2,1,2,2,2,2,2,1,3,1,2,2,2,1,3,1,2,1,3,1,4,2,4,1,4,1,4,1,4
85,man in blue shirt yells and points off - camera while a man in a blue shirt and baseball cap watches.,a man is yelling.,sitting in blue jeans colorful and points to the camera while a man in a blue shirt and baseball caps watches.,[CLS] man in mr.,1,0,2,0.2727272727272727,1.0,105.13701629638672,74.82186889648438,2,2,2,2,2,2,2,4,2,2,2,2,1,2,2,5,3,5,1,3,1,3,3,5,3,4,1,3,1,3,2,5
86,a small child is riding in a red wagon.,a kid is in a wagon.,a small child is styled in a red dress.,her father is in a wild.,1,0,2,0.2,0.4285714285714285,89.5270767211914,99.95671844482422,2,2,3,2,2,2,2,2,2,2,4,2,2,2,2,2,5,1,1,1,3,1,5,3,5,1,1,1,3,3,5,1
87,a man in renaissance clothing is sitting on a brick wall.,the man is in costume,a man in cleaned fabric is sitting on a brick wall.,[CLS] man is in heaven,1,0,0,0.1666666666666666,0.8,166.7998504638672,114.1791534423828,3,1,2,1,3,1,2,1,4,1,2,1,3,1,2,1,4,1,3,1,3,1,3,1,3,1,5,1,3,1,4,1
88,a big black dog jumps in the air to catch the tennis ball in his mouth.,a dog is jumping.,a little black man looks in the air to see the cricket ball in his mouth.,[CLS] dog is eighteen.,1,0,2,0.2941176470588235,0.8,89.02861785888672,86.07059478759766,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,3,1,3,1,3,1,2,1,3,1,3,1
89,two men are boxing in fighting arena.,two men are boxing.,the men are participants in wrestling matches.,23 men are boxing.,1,0,0,0.5,0.2,340.3343200683594,206.7735137939453,2,2,2,1,2,1,2,2,4,2,1,5,2,1,2,2,5,3,3,1,5,3,5,5,5,5,4,4,5,3,5,5
90,a wall hung with multicolored crosses is visible behind the group of young men as they converse.,young men are talking,a window interspersed with multicolored windows is visible through the group of young men as they drive.,the men are single,1,2,2,0.2777777777777778,0.5,74.34481811523438,73.17786407470703,3,4,3,2,3,3,4,4,2,4,3,3,3,2,4,3,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5
91,red - haired female answers questions while sitting at a table for craftzine.,she answers questions while sitting at a table.,red king < < prepare questions while sitting at a table for travel spot.,she rhymes repeatedly while sitting at a table.,1,0,0,0.4285714285714285,0.2222222222222222,136.74449157714844,191.16148376464844,2,2,1,4,1,3,1,3,2,2,1,3,1,3,2,2,3,3,1,1,3,2,4,3,3,2,1,1,5,3,3,3
92,"two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",people in costumes,"the men in nets with five visible hands, a hats, jeans and a fur coat that had white optic lights.",australia in costume,1,2,2,0.4782608695652174,0.6666666666666666,161.162353515625,264.99462890625,2,3,1,3,2,4,1,4,2,4,2,4,1,3,2,4,3,3,1,1,1,3,3,4,1,3,3,5,2,2,4,4
93,a man has wrecked his racing bike in the dirt with five spectators behind a rope.,a man has damaged something.,a photograph is marching his spare bike in the woods with two people on the mountain.,[CLS] man has killed millions.,1,2,0,0.5882352941176471,0.8333333333333334,265.9266357421875,229.4278106689453,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
94,a city street with market vendors and children being pushed in strollers with a large cathedral in the background.,the strollers are moving.,a beautiful street with adequate windows and banks being built in plasterers with a large garden in the background.,[CLS] rebuilding crisis is changing.,1,2,0,0.35,1.4,223.5167388916016,131.59848022460938,2,3,2,2,2,2,2,3,2,4,1,2,1,2,2,2,5,1,3,0,3,0,5,1,3,1,2,0,4,0,5,1
95,two men working on farm equipment that is being pulled by two horses.,the men are working on farm stuff.,the men working on telecommunication equipment that is being pulled by the horses.,[CLS] men are working on stealing eggs.,1,0,0,0.2142857142857142,0.625,106.9315414428711,99.25658416748048,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,woman running in a park while listening to music.,a woman jogging in a park.,others running in a park while listening to music.,[CLS] woman sleeps in a park.,1,2,0,0.1,0.5714285714285714,135.93348693847656,50.38483047485352,4,2,5,1,4,1,4,1,4,2,5,1,4,1,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,-1
97,a man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,a guy in brown jumps up in a room with a wood floor,a bomb in jeans and a. grenade hove up in the air in a living room that has a burning and dirt floor.,[CLS] man in black dresses up in a room with a plastic floor,1,0,0,0.32,0.5384615384615384,40.48038864135742,87.07017517089844,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,3,1,3,1,0,1,1,1,3,1
98,"the blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",a man covered in paint takes a photo.,"the rooted young man who had been sperryed with hair balloons of blue, brown, and green gives up his cameras to take a picture.",[CLS] man'in blue pushed a tree.,1,2,0,0.2592592592592592,0.7777777777777778,88.80462646484375,93.5202407836914,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,3,1,2,1,3,1,4,1,4,1,4,0,4,1,5,1
99,"one woman with jeans, gray shirt and sandals ; with girl in all pink watching a white ball float in midair.",the shirt is gray.,"a woman with shoes, wearing skirt and sandals, and men in all colours, a white shirt floating in midair.",the meat is black.,1,0,0,0.4782608695652174,0.4,163.79446411132812,70.2010498046875,2,2,2,1,2,1,1,2,2,2,2,1,3,1,1,2,3,3,1,0,1,1,2,1,3,3,1,0,1,1,3,3
100,3 people are shopping in a market.,there are people at a market.,"most, are usable in a small.",[CLS] are ten at a market.,1,2,0,0.5,0.5714285714285714,208.32948303222656,298.5400390625,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,3,1,1,1,1,1,2,1,3,1,3,1,2,2,3,3
101,a man is working in an art studio and is surrounded by art supplies.,a man is working on art.,a woman is working in an advertising studio and is surrounded by loud speakers.,[CLS] man is working on dreams.,1,0,2,0.2666666666666666,0.5714285714285714,71.62329864501953,50.47689437866211,3,2,2,1,2,2,4,2,3,2,3,1,3,1,4,2,5,1,1,1,5,1,5,3,5,1,1,1,5,1,5,2
102,the man in black is flying off the full in front of a red fence.,the man is next to the fence.,the man in black is flying off the parade in front of a flaming banner.,[CLS] man is listening to the man.,1,0,0,0.1875,0.625,122.3989486694336,58.517276763916016,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,3,1,1,1,2,1,3,1,3,1,0,1,3,1,3,1
103,people are hiking up a mountain with no greenery.,the mountain is bare.,they are climbed up the mountain and theminary.,[CLS] mountain is sacred.,1,0,2,0.6,0.8,153.79568481445312,209.4200897216797,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,1,1,1,1,1,1,3,2,3,1,1,1,3,1,3,3
104,"an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",an old woman has a jean jacket.,"an old man in a sniper hat and an old woman in a headguard are standing outside, and are visible only in shadow.",[CLS] old woman has a leather jacket.,1,2,0,0.2307692307692307,0.5,48.38198471069336,48.71588516235352,4,2,2,2,3,2,2,2,2,2,2,1,3,2,2,2,5,1,1,1,3,1,3,1,5,1,4,1,2,1,5,1
105,a patient is being worked on by doctors and nurses.,someone is at the doctor.,a company is being worked on by nurses and nurses.,priest is also the doctor.,1,0,2,0.1818181818181818,0.3333333333333333,95.28336334228516,115.33394622802734,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,3,5,1,3,2,3,3,3,2,5,3,3,1,2,3,4
106,a young male wearing a white shirt with a character outlined very darkly.,a young male in a white shirt.,"a large woman without a white shirt, a photograph of and above.",a black male in a white jacket.,1,0,2,0.5714285714285714,0.25,62.73699188232422,77.06063842773438,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,5,5,1,1,3,2,5,3,3,4,3,0,3,2,4,3
107,a man wearing a white shirt and a blue jeans reading a newspaper while standing,a man is reading a newspaper.,"a scene wearing a red shirt and a blue jeans surrounded a man, standing",date man is reading a newspaper.,1,2,2,0.3333333333333333,0.1428571428571428,64.72447204589844,75.19053649902344,2,2,2,2,2,2,2,4,2,2,1,3,2,2,2,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
108,a man and woman setup a camera.,two people setup a device,a man and woman detection a child.,[CLS] people driving a motorcycle,1,0,0,0.25,1.0,270.6835021972656,299.3408508300781,2,1,2,1,2,1,2,1,2,1,3,2,1,1,2,2,5,1,3,1,4,1,5,1,4,1,3,1,3,1,4,1
109,two dogs run across the woods.,the canines run around in the forest.,two canine from across the bridge.,[CLS] crickets run around in the forest.,1,0,0,0.4285714285714285,0.5,99.885009765625,143.6992950439453,2,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,5,5,5,1,5,2,5,5,5,5,3,0,5,3,5,5
110,a man is kayaking in rough waters.,the man is in a boat,the man is snowboarding in polar waters.,[CLS] man is in a cabin,1,0,0,0.375,0.6666666666666666,157.26194763183594,63.64077758789063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,2,1
111,"a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",a person is near a pile of coconuts.,"a person wearing a straw hat, standing outside at a small door with a pile of straws on the ground.",deceased person is carrying a pile of coconuts.,1,0,0,0.1818181818181818,0.2222222222222222,45.56000900268555,36.07135772705078,2,2,2,1,2,2,2,2,3,2,2,1,2,1,2,2,5,4,3,1,5,3,5,3,5,5,3,5,4,3,5,3
112,several men at a bar watch a sports game on the television.,some men are watching tv at a bar.,the men in a neighborhood watch a football game on the streets.,[CLS] men are stalking ourselves for the bar.,1,0,2,0.3846153846153846,0.7777777777777778,153.1273651123047,76.3726577758789,4,1,3,1,3,1,4,1,4,1,3,1,3,1,4,1,5,1,3,1,5,1,5,1,5,1,2,1,5,1,3,1
113,a lit girl splashes around in natural water.,a girl splashes in water.,a human person splashes around in the water.,[CLS] shark splashes in water.,1,2,0,0.3333333333333333,0.6666666666666666,217.8887481689453,71.98112487792969,4,2,5,2,4,2,4,2,3,2,5,2,3,2,4,1,5,3,5,1,5,3,5,5,5,2,5,1,5,1,5,5
114,a boy is riding down the road between two cows.,"a boy, a road and two cows.",a sign is placed on the ground between two wings.,"[CLS] boy, a camel and two cows.",1,0,2,0.4545454545454545,0.4444444444444444,115.35919952392578,125.30012512207033,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,3,1,1,1,2,1,3,3,3,1,1,0,4,3,3,1
115,a group of attentive students are paying attention to a college lecture.,some students are attending a class.,a number of attentive people are paying attention to a red rug.,##2 students are attending a church.,1,2,0,0.3076923076923077,0.5714285714285714,113.5332489013672,99.2436065673828,4,4,3,2,3,1,3,2,4,4,3,1,3,1,4,2,5,5,3,1,5,3,5,3,5,5,4,0,5,5,5,3
116,a man laughing while at a restaurant.,a man laughing.,a man smelling while at a restaurant.,[CLS] man dying.,1,0,0,0.125,1.0,199.1183013916016,193.08172607421875,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,5,1,1,1,3,1,5,1,5,1,1,1,3,1,1,1
117,a woman wearing a yellow tank top and white pants looking into a window on a city street.,a woman wearing a tank top and pants looks through some glass.,a person wearing a red crop top and white pants looks shoot a block on a city street.,[CLS] woman wearing a tank top and pants looks through her pockets.,1,0,0,0.3157894736842105,0.3846153846153846,42.157745361328125,64.77796936035156,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,1,1,1,3,1,3,1,5,1,1,1,3,1,3,1
118,"a crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,"a number of people in a stadium steeped up in white, yellow and green hedges and waiting for the team below.",[CLS] perfectly candid is now,1,2,0,0.217391304347826,1.5,79.13568115234375,193.45513916015625,2,4,4,5,4,4,4,4,2,4,4,5,5,4,4,4,5,5,5,1,3,1,5,5,5,4,5,1,3,1,4,4
119,"two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.",two females holding each other.,"two very young passengers on ice skates, holding up and holding on to each other while ready to begin their life on the ice.",##s lies kissing each other.,1,2,0,0.1923076923076923,0.8333333333333334,93.7705307006836,46.61608505249024,4,2,5,1,4,1,4,2,4,1,5,1,4,1,3,1,5,3,5,1,5,1,5,3,5,1,5,1,4,1,5,3
120,a man in a short mohawk and beard.,a man with a short mohawk and beard stands outside.,a man in a bar dress and affection.,the man in a long mohawk and beard lives outside.,2,0,0,0.3333333333333333,0.3636363636363636,24.664840698242188,99.5230712890625,2,2,2,4,2,2,2,2,2,4,2,4,2,2,2,2,3,5,1,1,1,3,3,3,3,5,1,1,3,5,2,3
121,a woman in a pink top is holding a glass bottle in one hand and a stitch doll in the other.,the top is pink,a man in a cage top hat holding a wine bottle in one hand and a jewel bottle in the other.,[CLS] top is tanned,1,0,2,0.2727272727272727,1.0,45.15625,36.106712341308594,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,4,5,1,1,3,1,4,5,4,3,2,0,2,2,5,5
122,a girl in a black skirt and blue dress is watering flowers.,the girl is giving the flowers some water.,a girl in a white dress and red dress is eating candles.,@ cat is picking the flowers before them.,1,0,0,0.3846153846153846,0.5555555555555556,142.92742919921875,62.74342727661133,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,5,5,1,1,1,3,1,3,4,5,1,1,1,3,1,3
123,a pro - baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,a pitcher is playing baseball at a stadium,a statue - trough pitcher sells a combat ball to his opponent. many are smiling and enjoy the game.,[CLS] pitcher is not baseball at a slam,1,2,0,0.3333333333333333,0.625,176.39927673339844,220.2238922119141,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,5,1,5,1,3,1,5,5,5,1,4,1,1,1,5,4
124,one confused man is standing and staring off into the distance in front of some ticket collecting machines.,the man is confused.,one masked man is standing and staring out into the distance in front of a mirror sales machines.,[CLS] man is dying.,1,2,0,0.2631578947368421,0.8,127.38077545166016,75.01395416259766,4,1,2,1,2,1,3,1,3,2,4,1,2,1,3,1,3,1,1,1,1,1,3,1,3,1,2,1,5,1,3,1
125,several men in black t - shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,"the men in black boots, cables and jackets are worn with matching rods to catch food that's located on a pool table with a hole in the center.",[CLS] using platinum bible,1,2,0,0.3225806451612903,1.25,140.7831573486328,115.56736755371094,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,0,3,0,3,1,3,1,1,1,4,1,3,2
126,a group of people sitting and knitting.,people are sitting.,a group of people are and walking.,darts are required.,1,0,0,0.25,0.5,198.71421813964844,181.4668884277344,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,3,3,1,1,1,3,3,3,3,2,1,1,1,3,3,1
127,an older man sifts water through his fingers as a young toddler watches from inside the water.,a man is near a toddler,"an old man earned hails clouds through his body, a sign nutler watches from inside the home.",[CLS] man is killed a redwoodler,1,2,0,0.5,0.8333333333333334,240.3999786376953,457.21295166015625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,2,1,0,1,1,0,1,1
128,"while traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",a woman rests on the shoulder of a man,"while dancing, a woman in a black jacket is hurled on the shoulder of a man with a black jacket.",[CLS] woman drown on the shoulder of a man,1,0,0,0.1363636363636363,0.4444444444444444,38.50607299804688,31.861072540283203,2,1,4,1,2,1,2,1,2,1,3,1,2,1,4,2,5,1,5,1,5,1,5,1,5,1,4,1,3,1,5,1
129,"a small, pale bird bends down to examine a crumb.",the bird is on the ground.,"a small, hooked bird leans down to middle a crestan.",[CLS] bird is on the flight.,2,0,0,0.3333333333333333,0.5714285714285714,124.39417266845705,241.0769195556641,2,2,3,1,2,1,2,2,2,2,4,1,3,1,2,2,4,1,5,1,3,1,5,1,3,1,4,1,3,1,5,1
130,a man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,a man is riding a motorcyle.,a man driven a car on a busy road passes several abandoned or abandoned cars on the side of the road.,"[CLS] man, riding a dunlop motorcycle bicycle.",1,0,0,0.2272727272727272,1.0,65.35405731201172,29.912397384643555,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,5,3,1,4,3,3,3,5,4,3,1,3,4,2,3,3
131,a skier is heading into a grove of trees.,there is snow on the ground in this picture.,the suit is etched into a pool of flowers.,there is mud underneath the ground in the moonlight.,1,0,2,0.5,0.4,65.97405242919922,63.01750946044922,2,4,2,2,2,2,2,4,2,4,2,3,3,2,1,3,3,5,1,1,3,3,3,4,1,5,1,1,3,3,1,3
132,two women bend over to touch a small kangaroo.,two women are petting a kangaroo,the men heads up to touch a large stream.,the women are gutting a kangaroo,2,0,0,0.6,0.3333333333333333,57.35265350341797,131.35003662109375,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,3,1,1,0,3,1,3,1,5,1,0,1,3,1,3,1
133,a man with thinning hair looking into glasses through glasses.,a man with thinning hair.,a girl with thin new hair transitioned into venus in this.,[CLS] man with thin blue hair.,1,0,2,0.6363636363636364,0.8333333333333334,108.80933380126952,301.27459716796875,2,2,3,2,2,1,2,2,2,2,2,2,2,1,2,2,1,5,1,3,1,4,5,5,4,5,1,4,2,5,4,5
134,a kid dressed in a long - sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,a team of youths race to finish first in a relay race on a beach.,a boy dressed in a long black plaid shirt with a matching numbered 11 is passing the bar to a boy in a jersey numbered 11 during a relay race.,[CLS] group of students race to finish first in a relay race on the beach.,2,2,2,0.1935483870967742,0.375,74.0353775024414,58.09402084350586,4,4,4,2,4,3,4,2,4,4,5,3,4,3,4,2,5,5,5,3,5,3,5,5,5,5,4,3,5,3,4,4
135,a man is riding a bicycle in the street.,a bicycle is being ridden,a photograph is just a bicycle in the house.,a woman is being chased,1,0,0,0.3,0.4,26.063627243041992,77.52391052246094,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,5,1,1,1,3,1,5,1,5,1,1,2,5,1,4
136,a woman with a pink purse walks down a crowded sidewalk.,a woman walks through a crowd,a man with a pink dress sits on a green sidewalk.,[CLS] woman walks through a flat,1,0,0,0.4166666666666667,0.6666666666666666,118.1995849609375,47.60712814331055,2,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,5,1,1,1,5,1,4,1,5,2,1,2,5,1,5,2
137,"a large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people watch men in kilts,"a large number of animals are useful, dressed in camouflagelts, one of whom has been a dress pole.",guerrillas watch men in kilts,1,0,2,0.2857142857142857,0.2,59.440948486328125,228.2481384277344,1,4,1,2,1,2,1,2,2,4,1,4,2,4,1,2,3,3,1,1,1,1,5,3,3,3,1,1,2,3,5,2
138,"two babies, one in red, asleep in their highchairs.",babies are asleep,"two guards, one in each, glow in their high shiners.",[CLS] are pink,1,0,0,0.4166666666666667,1.3333333333333333,182.1766967773437,310.7873840332031,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,5,3,5,1,3,3,5,5,5,5,-1,1,5,2,5,5
139,some folks pick out the food they want at a party.,the party - goers are perusing the buffet.,some friends give them the tasks they want at a party.,[CLS] party - goers are hauntedsing the bible.,2,2,2,0.3333333333333333,0.5555555555555556,398.1346435546875,136.32034301757812,4,1,4,1,3,1,3,1,3,2,4,1,3,1,2,1,5,1,3,1,3,1,5,1,5,1,3,1,3,0,5,1
140,a small dog runs to catch a ball.,a little dog chases a ball.,a little person born to throw a ball.,[CLS] small dog whispering a ball.,1,0,0,0.4444444444444444,0.7142857142857143,172.0679931640625,58.89412307739258,4,2,3,1,3,1,2,1,5,2,3,1,3,2,2,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,3
141,a white and black spotted dog is running through a grassy area.,a dog is outdoors.,a white and cream chin dog is styled with a triangle area.,a dog is hunting.,1,2,2,0.3846153846153846,0.2,76.4014663696289,339.6907958984375,2,2,2,2,2,2,1,4,2,2,2,1,2,3,1,1,3,5,1,3,1,3,3,5,2,4,1,2,2,3,3,5
142,the black woman is laying out literature.,a black woman is handling printed material.,the black emperor is inside out poison.,[CLS] black woman is collecting lesbian material.,1,0,2,0.375,0.625,249.98666381835932,779.3629150390625,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,3,1,2,1,1,1,2,1,5
143,island native fishermen reeling in their nets after a long day's work.,the men are finishing their day of work.,"the shuttle weaving slowly in the bushes with a long day's work,",[CLS] children are veterans their day of birth.,1,2,0,0.5714285714285714,0.6666666666666666,277.3747863769531,84.7313003540039,2,1,3,1,2,1,2,1,2,1,3,1,2,1,1,1,3,1,1,1,1,1,5,1,5,1,1,1,1,1,4,1
